Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Betty,2022,Spring,14W - 26L,35%,4.5,9.1,425,24.3%,73.2%
Bin,2022,Spring,25W - 14L,64.1%,3.2,8.6,416,22.1%,50.9%
Biubiu,2022,Spring,14W - 26L,35%,2.4,7.6,370,21.5%,58.4%
Breathe,2022,Spring,25W - 19L,56.8%,3.2,8.5,412,22.7%,59.4%
Captain,2022,Spring,3W - 11L,21.4%,2.4,8,359,21.8%,63.2%
Care,2022,Spring,8W - 5L,61.5%,5.0,8,393,20.6%,71%
Chieftain,2022,Spring,6W - 18L,25%,1.8,4.8,297,17.5%,68.5%
Clid,2022,Spring,14W - 16L,46.7%,4.3,5.3,340,18.5%,75.4%
Creme,2022,Spring,20W - 21L,48.8%,3.1,8.2,395,22.1%,59.4%
Crisp,2022,Spring,25W - 19L,56.8%,3.3,1.1,237,13.1%,68.7%
Cryin,2022,Spring,15W - 26L,36.6%,3.4,8.3,392,22.3%,65.9%
Cube,2022,Spring,20W - 18L,52.6%,2.5,8.7,415,22.6%,53.6%
Doggo,2022,Spring,21W - 14L,60%,4.2,9.7,452,24.6%,67.3%
Doinb,2022,Spring,25W - 17L,59.5%,4.8,8.8,411,22.3%,76.7%
Elk,2022,Spring,15W - 26L,36.6%,3.6,9.6,455,25.9%,72.3%
Eric,2022,Spring,13W - 29L,31%,2.8,9.2,422,24.4%,57%
Flandre,2022,Spring,15W - 10L,60%,3.2,8.9,417,22.7%,54.8%
FoFo,2022,Spring,25W - 19L,56.8%,5.5,8.3,391,21.5%,66.8%
Forge,2022,Spring,12W - 18L,40%,3.7,8.3,391,22.2%,66.7%
GALA,2022,Spring,25W - 14L,64.1%,5.4,9.9,461,24.5%,64.5%
Garvey,2022,Spring,0W - 4L,0%,1.2,8.1,361,21.7%,34.3%
Gori,2022,Spring,13W - 16L,44.8%,3.0,8.5,386,21.4%,62%
H4cker,2022,Spring,15W - 26L,36.6%,2.4,5.2,316,18%,67.6%
Hang,2022,Spring,21W - 21L,50%,2.7,1.2,236,12.9%,70.6%
Hope,2022,Spring,25W - 8L,75.8%,6.2,9.5,457,24.2%,67.8%
Iwandy,2022,Spring,6W - 2L,75%,5.1,1.2,239,12.8%,72.6%
JackeyLove,2022,Spring,24W - 17L,58.5%,4.3,9.1,444,24%,69.5%
Jay,2022,Spring,8W - 17L,32%,2.5,7.7,355,20.8%,65.1%
Jiejie,2022,Spring,23W - 14L,62.2%,4.7,5.1,331,17.7%,68.4%
Kanavi,2022,Spring,26W - 12L,68.4%,3.8,6,371,19.8%,69.9%
Karsa,2022,Spring,27W - 11L,71.1%,4.1,5.5,354,18.5%,66%
Ke,2022,Spring,0W - 2L,0%,1.6,0.7,218,13.5%,71.7%
Kedaya,2022,Spring,14W - 26L,35%,2.5,1.2,230,13.4%,71.6%
Knight,2022,Spring,24W - 17L,58.5%,5.7,9.1,418,22.7%,72%
Kui,2022,Spring,0W - 2L,0%,0.7,4.6,298,18.6%,46.7%
Leyan,2022,Spring,20W - 18L,52.6%,2.7,6.2,342,18.8%,64.6%
Light,2022,Spring,25W - 17L,59.5%,7.8,9.7,468,25.4%,73.5%
Lpc,2022,Spring,1W - 4L,20%,2.2,8.4,388,22.7%,68.2%
LvMao,2022,Spring,19W - 15L,55.9%,2.8,1,233,12.7%,64.1%
Lwx,2022,Spring,21W - 21L,50%,3.5,9.5,450,24.5%,70.3%
Maple,2022,Spring,2W - 8L,20%,4.1,8.4,380,22.2%,67.4%
Mark,2022,Spring,19W - 9L,67.9%,4.8,1.4,248,13.1%,61.2%
Ming,2022,Spring,25W - 14L,64.1%,3.1,1.1,242,12.9%,63%
Missing,2022,Spring,26W - 12L,68.4%,3.6,1.2,245,13.1%,68.9%
Mole,2022,Spring,1W - 4L,20%,2.2,7.3,352,20.3%,73.8%
Moyan,2022,Spring,5W - 11L,31.3%,1.6,4.9,298,17.5%,60.6%
New,2022,Spring,11W - 29L,27.5%,2.0,7.9,368,21.6%,53.5%
ON,2022,Spring,21W - 15L,58.3%,2.3,1.2,235,13%,59.3%
Photic,2022,Spring,29W - 11L,72.5%,6.4,9,468,24.6%,69.9%
Ppgod,2022,Spring,29W - 11L,72.5%,4.2,1.6,258,13.5%,65.6%
Puff,2022,Spring,11W - 29L,27.5%,2.5,9.5,427,25%,60.5%
Qiuqiu,2022,Spring,14W - 26L,35%,2.1,1,227,13%,65.2%
Rich,2022,Spring,27W - 10L,73%,3.3,8.4,410,21.5%,45.8%
RooKie,2022,Spring,29W - 11L,72.5%,5.7,8.3,418,21.9%,71%
Scout,2022,Spring,23W - 14L,62.2%,5.7,8.6,422,22.6%,69.6%
Shad0w,2022,Spring,13W - 27L,32.5%,2.3,5.4,330,19.1%,69.3%
Shanks,2022,Spring,5W - 17L,22.7%,3.1,8.8,392,23.3%,72.2%
ShiauC,2022,Spring,15W - 26L,36.6%,2.3,1.1,234,13.3%,69.7%
SofM,2022,Spring,23W - 16L,59%,3.2,5.5,332,18.2%,63.2%
Southwind,2022,Spring,11W - 29L,27.5%,2.6,1.4,231,13.7%,64.3%
Stay,2022,Spring,4W - 12L,25%,3.0,8.4,390,22.9%,71.1%
Strive,2022,Spring,20W - 18L,52.6%,4.4,9.2,410,22.5%,68.6%
SwordArt,2022,Spring,2W - 1L,66.7%,5.2,1,235,12.1%,69.9%
Tarzan,2022,Spring,25W - 17L,59.5%,3.7,5,325,17.6%,72.8%
TheShy,2022,Spring,23W - 16L,59%,2.1,8.3,391,21.4%,52.7%
Tian,2022,Spring,19W - 11L,63.3%,3.4,5.4,335,17.8%,66.3%
Ucal,2022,Spring,8W - 18L,30.8%,3.5,8.4,383,22.4%,60.7%
Uzi,2022,Spring,4W - 5L,44.4%,4.5,10,450,25.7%,73.6%
View,2022,Spring,2W - 13L,13.3%,1.8,5.3,322,19.6%,73%
Viper,2022,Spring,23W - 14L,62.2%,5.7,9.4,454,24.4%,70.9%
Wayward,2022,Spring,19W - 9L,67.9%,4.2,8.8,428,22.6%,55.2%
Wei,2022,Spring,25W - 14L,64.1%,3.9,5.1,331,17.6%,59.6%
WeiWei,2022,Spring,25W - 19L,56.8%,2.9,5.3,326,17.9%,66%
Wink,2022,Spring,6W - 12L,33.3%,2.5,8.9,423,23.7%,63.5%
XLB,2022,Spring,2W - 0L,100%,5.0,5,373,18.4%,65.8%
XUN,2022,Spring,13W - 25L,34.2%,2.8,6,349,19.5%,67.8%
Xiaohao,2022,Spring,14W - 26L,35%,3.4,5.3,327,18.6%,70.1%
Xiaolaohu,2022,Spring,21W - 21L,50%,2.6,8.9,424,23.1%,57.2%
Xiaopeng,2022,Spring,5W - 6L,45.5%,2.5,5.3,329,18.5%,73.9%
XinLiu,2022,Spring,13W - 23L,36.1%,2.6,1.3,235,13.1%,61.7%
Xing,2022,Spring,10W - 14L,41.7%,3.5,9.5,425,24.5%,61.3%
Yagao,2022,Spring,26W - 12L,68.4%,4.9,8.4,408,21.9%,61.6%
YeG,2022,Spring,5W - 12L,29.4%,3.0,7.9,385,22%,65.7%
Yuekai,2022,Spring,12W - 21L,36.4%,3.3,8.4,399,22.2%,64.3%
Zdz,2022,Spring,14W - 26L,35%,2.3,8.2,380,21.8%,49.5%
