Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Eyla,2023,Spring,6W - 4L,60%,3.7,1,245,13.5%,70.5%
FBI,2023,Spring,10W - 9L,52.6%,5.3,9.4,445,24.8%,75.9%
Fleshy,2023,Spring,4W - 14L,22.2%,2.3,1,221,13.4%,66.3%
Fudge,2023,Spring,15W - 4L,78.9%,5.6,8.1,406,21.4%,59.5%
Gori,2023,Spring,9W - 7L,56.3%,4.1,8.6,410,22.7%,67.6%
Haeri,2023,Spring,8W - 10L,44.4%,2.6,8.8,406,22.7%,61%
Hauntzer,2023,Spring,1W - 1L,50%,7.5,7.3,351,20.1%,49.2%
Huhi,2023,Spring,9W - 9L,50%,5.2,0.9,249,13.9%,78.2%
IgNar,2023,Spring,3W - 9L,25%,2.5,0.7,212,12.9%,65.9%
Impact,2023,Spring,14W - 5L,73.7%,3.6,7.7,382,20.4%,52.4%
Inspired,2023,Spring,10W - 9L,52.6%,5.1,5.4,318,17.7%,72.6%
Jensen,2023,Spring,3W - 15L,16.7%,1.8,8.7,379,23.4%,69.9%
Kenvi,2023,Spring,4W - 14L,22.2%,1.8,5.5,313,18.9%,70.6%
Licorice,2023,Spring,9W - 9L,50%,2.0,7.8,372,20.8%,40%
Luger,2023,Spring,10W - 9L,52.6%,5.0,9.5,426,23.8%,63.1%
Maple,2023,Spring,8W - 10L,44.4%,3.4,8.4,397,23%,72.3%
Neo,2023,Spring,5W - 6L,45.5%,3.2,8.6,412,24%,68.6%
Palafox,2023,Spring,10W - 9L,52.6%,4.1,8.9,409,22.9%,64.6%
Poome,2023,Spring,10W - 9L,52.6%,3.0,1,240,13.5%,71.3%
Prince,2023,Spring,14W - 5L,73.7%,5.8,10,477,25.5%,65.5%
Pyosik,2023,Spring,8W - 10L,44.4%,3.5,5.6,331,18.5%,68%
Revenge,2023,Spring,4W - 14L,22.2%,1.7,8.1,361,21.8%,55.2%
River,2023,Spring,9W - 9L,50%,3.4,5.1,324,18.1%,72.1%
Ryoma,2023,Spring,1W - 0L,100%,11.0,9.7,460,24%,57.9%
