Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Brokenblade,2021,Spring,9W - 9L,50%,3.0,8.2,388,22%,55.2%
Bwipo,2021,Spring,9W - 9L,50%,2.4,7.6,394,21.4%,54.2%
Caps,2021,Spring,14W - 4L,77.8%,6.0,8.7,431,22.5%,67.5%
Carzzy,2021,Spring,10W - 8L,55.6%,3.2,8.1,404,22%,70.1%
Comp,2021,Spring,1W - 6L,14.3%,1.8,9.5,411,24.8%,58.4%
Crownie,2021,Spring,4W - 7L,36.4%,3.7,10.1,446,25.8%,80.3%
Czekolad,2021,Spring,7W - 11L,38.9%,2.2,8.5,372,22.2%,65.5%
Elyoya,2021,Spring,10W - 8L,55.6%,4.4,6.5,375,20.4%,75.6%
Gilius,2021,Spring,9W - 9L,50%,2.6,5.8,319,18%,64.9%
Hans sama,2021,Spring,14W - 4L,77.8%,6.3,9,463,24.3%,73.2%
HiRit,2021,Spring,8W - 10L,44.4%,2.9,7.6,369,20.5%,55.7%
Humanoid,2021,Spring,10W - 8L,55.6%,3.0,9.1,424,23.1%,64%
Hylissang,2021,Spring,9W - 9L,50%,1.7,1.6,245,13.4%,62%
Inspired,2021,Spring,14W - 4L,77.8%,5.5,6.6,364,19%,64.9%
JNX,2021,Spring,8W - 10L,44.4%,3.6,8,367,21.1%,54.5%
Jankos,2021,Spring,14W - 4L,77.8%,4.1,6.6,377,19.7%,61.2%
Jeskla,2021,Spring,6W - 12L,33.3%,2.6,9,421,24.7%,62.2%
Jezu,2021,Spring,8W - 10L,44.4%,4.0,8.5,394,22.7%,75.9%
Kaiser,2021,Spring,10W - 8L,55.6%,3.7,1.7,257,13.9%,73%
Kobbe,2021,Spring,8W - 10L,44.4%,5.2,9.1,428,23.8%,58.7%
Kryze,2021,Spring,7W - 11L,38.9%,3.3,7.5,354,21.2%,63.8%
Labrov,2021,Spring,5W - 13L,27.8%,1.9,1,219,12.9%,74.9%
Larssen,2021,Spring,14W - 4L,77.8%,7.8,9.6,448,23.6%,65.8%
Limit,2021,Spring,9W - 9L,50%,2.9,1.6,235,13.3%,72.6%
MagiFelix,2021,Spring,5W - 6L,45.5%,3.9,9,407,23.3%,61.4%
Mikyx,2021,Spring,14W - 4L,77.8%,2.8,1.6,255,13.3%,62.1%
Milica,2021,Spring,5W - 13L,27.8%,3.8,8.5,377,22.2%,64.3%
Neon,2021,Spring,9W - 9L,50%,3.8,8.6,416,23.4%,72.7%
Nisqy,2021,Spring,9W - 9L,50%,3.2,8,384,21%,61.4%
Nukeduck,2021,Spring,1W - 6L,14.3%,1.9,8.2,364,22.5%,75.6%
Odoamne,2021,Spring,14W - 4L,77.8%,7.2,8.1,385,20.2%,53.8%
Patrik,2021,Spring,7W - 11L,38.9%,2.8,8.7,406,24.1%,73.8%
Promisq,2021,Spring,6W - 12L,33.3%,1.9,1.1,224,13.2%,64.3%
Razork,2021,Spring,8W - 10L,44.4%,2.9,6.4,359,20%,70.6%
Rekkles,2021,Spring,14W - 4L,77.8%,12.6,9.4,467,24.4%,72.1%
Selfmade,2021,Spring,9W - 9L,50%,3.2,6.7,373,20.4%,65.8%
Skeanz,2021,Spring,5W - 13L,27.8%,3.8,5.8,325,19.1%,72.2%
Szygenda,2021,Spring,5W - 13L,27.8%,2.5,7.5,350,20.5%,56.5%
Tore,2021,Spring,7W - 11L,38.9%,1.9,1.4,223,13.3%,75.5%
Treatz,2021,Spring,8W - 10L,44.4%,3.1,1,226,13%,80.7%
Trymbi,2021,Spring,14W - 4L,77.8%,3.4,1.5,247,12.9%,64.8%
TynX,2021,Spring,8W - 10L,44.4%,3.6,6.3,340,19.6%,71.3%
Upset,2021,Spring,9W - 9L,50%,6.0,8.2,438,23.9%,68%
VandeR,2021,Spring,8W - 10L,44.4%,3.0,1,236,13%,67.2%
Vetheo,2021,Spring,8W - 10L,44.4%,3.0,9,408,22.7%,59.8%
Whiteknight,2021,Spring,6W - 12L,33.3%,2.7,6.8,347,20.5%,64.1%
Wunder,2021,Spring,14W - 4L,77.8%,3.3,8,385,20.1%,52.1%
Zanzarah,2021,Spring,6W - 12L,33.3%,2.4,5.4,313,18.5%,63%
dan,2021,Spring,7W - 11L,38.9%,2.7,6,323,19.2%,69.6%
Abbedagge,2020,Summer,8W - 10L,44.4%,3.7,9.5,411,24%,70.7%
Alphari,2020,Summer,6W - 12L,33.3%,2.6,8.2,381,22.7%,63.1%
Bwipo,2020,Summer,9W - 9L,50%,2.1,7.3,370,20.5%,59.4%
Cabochard,2020,Summer,7W - 11L,38.9%,2.6,6.8,336,19.7%,55.6%
Caedrel,2020,Summer,8W - 10L,44.4%,2.5,5,295,17.1%,64.4%
Caps,2020,Summer,11W - 7L,61.1%,4.8,9.1,434,23.9%,70.1%
Carzzy,2020,Summer,12W - 6L,66.7%,5.0,6.9,381,21.2%,66.6%
Comp,2020,Summer,7W - 11L,38.9%,3.8,9.7,440,25.8%,78.8%
Crownie,2020,Summer,9W - 9L,50%,4.6,9.5,438,25%,68.3%
Dan Dan,2020,Summer,7W - 11L,38.9%,2.8,8,381,22.2%,59.3%
Denyk,2020,Summer,2W - 3L,40%,1.6,0.9,212,12.6%,63.1%
Destiny,2020,Summer,4W - 5L,44.4%,3.3,1,215,12.6%,60.2%
Doss,2020,Summer,5W - 8L,38.5%,1.9,1,217,12.5%,55.4%
Dreams,2020,Summer,8W - 7L,53.3%,3.4,0.9,220,12.6%,67.1%
Febiven,2020,Summer,7W - 11L,38.9%,2.5,8.8,390,22.8%,64.8%
Finn,2020,Summer,13W - 5L,72.2%,3.9,7.3,375,20.6%,59.9%
Gilius,2020,Summer,8W - 4L,66.7%,4.9,5.7,341,19%,73.7%
Hans sama,2020,Summer,13W - 5L,72.2%,5.2,9.4,444,24.5%,65.7%
Humanoid,2020,Summer,12W - 6L,66.7%,3.6,9.3,441,24.6%,67.7%
Hylissang,2020,Summer,9W - 9L,50%,1.7,1.1,237,13.1%,59.7%
Innaxe,2020,Summer,0W - 3L,0%,1.4,8.8,385,24.9%,85.9%
Inspired,2020,Summer,13W - 5L,72.2%,9.7,4.9,310,17.1%,70.1%
JNX,2020,Summer,9W - 9L,50%,2.7,7.6,361,20.5%,56.1%
Jankos,2020,Summer,11W - 7L,61.1%,3.4,5.3,323,17.8%,70.2%
Kaiser,2020,Summer,12W - 6L,66.7%,4.9,2.3,263,14.6%,68.3%
Kobbe,2020,Summer,7W - 11L,38.9%,3.9,9.3,423,24.6%,64.2%
Kryze,2020,Summer,8W - 10L,44.4%,2.0,8.5,396,22.7%,57.8%
Labrov,2020,Summer,7W - 11L,38.9%,3.3,1,221,12.9%,79.3%
Larssen,2020,Summer,13W - 5L,72.2%,6.5,9.9,457,25.3%,72%
Limit,2020,Summer,9W - 9L,50%,3.5,1.1,235,13.4%,71.2%
Lurox,2020,Summer,0W - 6L,0%,1.1,5.2,275,17.7%,74.2%
Mikyx,2020,Summer,11W - 7L,61.1%,2.8,1.5,244,13.5%,57.4%
Milica,2020,Summer,7W - 11L,38.9%,4.0,9.5,415,24.3%,69.3%
Nemesis,2020,Summer,9W - 9L,50%,3.1,9.2,418,23.2%,56.2%
Neon,2020,Summer,8W - 7L,53.3%,4.2,9.1,409,23.5%,72.7%
Nji,2020,Summer,4W - 5L,44.4%,1.7,4.8,294,17.2%,57.3%
Nukeduck,2020,Summer,6W - 12L,33.3%,2.8,8.4,374,22.3%,70.5%
Nukes,2020,Summer,0W - 3L,0%,1.4,1.1,205,13.3%,79.8%
Odoamne,2020,Summer,8W - 10L,44.4%,3.0,7.6,358,21%,66.6%
Orome,2020,Summer,12W - 6L,66.7%,4.4,7.8,392,21.9%,55.7%
Patrik,2020,Summer,8W - 10L,44.4%,3.5,9.4,425,24.4%,74.6%
Perkz,2020,Summer,10W - 6L,62.5%,3.4,9.8,445,24.5%,55.8%
Razork,2020,Summer,7W - 11L,38.9%,2.1,5.2,307,17.8%,72.4%
Rekkles,2020,Summer,9W - 9L,50%,7.0,9.2,423,23.5%,77.5%
Selfmade,2020,Summer,9W - 9L,50%,3.5,6.3,352,19.6%,71.1%
Shad0w,2020,Summer,12W - 6L,66.7%,3.8,4.9,318,17.7%,71.7%
Skeanz,2020,Summer,3W - 6L,33.3%,3.0,5,296,17.4%,67.4%
Special,2020,Summer,8W - 10L,44.4%,2.3,9.3,401,23.2%,64.5%
Tore,2020,Summer,8W - 10L,44.4%,2.7,1.1,219,12.6%,71.8%
Trick,2020,Summer,9W - 9L,50%,2.8,5.1,306,17.4%,64.3%
Upset,2020,Summer,6W - 12L,33.3%,5.9,9.7,421,25%,72.3%
VandeR,2020,Summer,13W - 5L,72.2%,8.6,0.9,226,12.5%,59.6%
Wunder,2020,Summer,11W - 7L,61.1%,2.8,7.9,383,21.1%,57.1%
Xerxe,2020,Summer,6W - 12L,33.3%,2.9,4.9,294,17.6%,68.9%
ZaZee,2020,Summer,9W - 9L,50%,4.2,9.1,414,23.7%,75%
jactroll,2020,Summer,2W - 7L,22.2%,1.5,0.8,203,12.3%,68.9%
p1noyszn,2020,Summer,1W - 1L,50%,3.6,4.2,324,17.7%,56.1%
Abbedagge,2020,Spring,6W - 12L,33.3%,2.9,9.3,417,24.3%,70.1%
Alphari,2020,Spring,13W - 5L,72.2%,4.3,8.5,411,23.3%,60%
Bvoy,2020,Spring,10W - 8L,55.6%,4.4,9.2,412,23.4%,62.7%
Bwipo,2020,Spring,13W - 5L,72.2%,3.2,7.1,390,21%,64%
Cabochard,2020,Spring,2W - 16L,11.1%,1.7,7.8,356,22%,60.9%
Caedrel,2020,Spring,7W - 11L,38.9%,2.3,5.2,310,18.2%,63.9%
Caps,2020,Spring,15W - 3L,83.3%,6.6,7.9,425,22.8%,73.9%
Carzzy,2020,Spring,11W - 7L,61.1%,4.0,9.1,429,24.2%,67.5%
Comp,2020,Spring,2W - 16L,11.1%,2.0,10,412,25.4%,52.9%
Crownie,2020,Spring,4W - 14L,22.2%,3.0,10.1,424,25.7%,64.4%
Dan Dan,2020,Spring,10W - 8L,55.6%,2.9,8.3,403,23%,61%
Denyk,2020,Spring,10W - 8L,55.6%,3.6,1.1,229,13.1%,67.3%
Destiny,2020,Spring,13W - 5L,72.2%,4.2,1,231,13.1%,72.9%
Dreams,2020,Spring,6W - 12L,33.3%,2.3,1,217,12.7%,58%
Expect,2020,Spring,7W - 11L,38.9%,2.1,7.6,371,21.7%,62.2%
FORG1VEN,2020,Spring,0W - 6L,0%,1.8,9.5,397,25.5%,72.8%
Febiven,2020,Spring,10W - 8L,55.6%,3.1,8.4,397,22.6%,63.4%
Finn,2020,Spring,9W - 9L,50%,2.3,7.7,366,21.1%,53%
Gilius,2020,Spring,1W - 5L,16.7%,2.3,4.6,287,17.2%,68.3%
Hans sama,2020,Spring,9W - 9L,50%,4.2,9.2,419,24.3%,66.9%
Humanoid,2020,Spring,11W - 7L,61.1%,3.1,9,415,23.4%,64.9%
Hylissang,2020,Spring,13W - 5L,72.2%,2.9,1.3,252,13.5%,59.1%
Innaxe,2020,Spring,6W - 6L,50%,5.9,9.5,427,24%,64.9%
Inspired,2020,Spring,9W - 9L,50%,3.7,4.8,302,17.5%,69.1%
JNX,2020,Spring,4W - 14L,22.2%,1.7,8.3,371,22.4%,62.6%
Jankos,2020,Spring,15W - 3L,83.3%,6.3,5.4,366,19.5%,71.2%
Kaiser,2020,Spring,11W - 7L,61.1%,4.8,1.3,245,13.8%,76.5%
Larssen,2020,Spring,9W - 9L,50%,4.1,9.2,411,23.8%,65.5%
Limit,2020,Spring,4W - 14L,22.2%,1.5,1,217,13.1%,67.6%
Lurox,2020,Spring,5W - 7L,41.7%,3.6,4.6,290,16.7%,64.1%
Mickey,2020,Spring,7W - 11L,38.9%,2.7,8.3,381,22.4%,69%
Mikyx,2020,Spring,15W - 3L,83.3%,5.1,1.6,264,14.1%,71.3%
Nemesis,2020,Spring,13W - 5L,72.2%,4.1,8.7,407,21.9%,53.2%
Nukeduck,2020,Spring,13W - 5L,72.2%,4.1,7.4,364,20.7%,61.1%
Nulu,2020,Spring,1W - 5L,16.7%,1.1,8.2,365,22.1%,55.3%
Odoamne,2020,Spring,6W - 12L,33.3%,3.3,7.9,372,21.7%,54.9%
Orome,2020,Spring,11W - 7L,61.1%,3.5,7.4,367,20.7%,59.8%
Patrik,2020,Spring,7W - 11L,38.9%,3.2,9,415,24.3%,69.8%
Perkz,2020,Spring,15W - 3L,83.3%,5.1,8.6,431,23.2%,63.6%
Razork,2020,Spring,10W - 8L,55.6%,2.6,5,314,18%,68.1%
Rekkles,2020,Spring,13W - 5L,72.2%,9.9,10.3,476,25.7%,72.1%
Sacre,2020,Spring,4W - 12L,25%,2.0,7.6,354,21.1%,45.4%
Saken,2020,Spring,1W - 11L,8.3%,1.2,8.4,358,22.4%,53.4%
Selfmade,2020,Spring,13W - 5L,72.2%,3.9,5.1,331,17.8%,62.2%
Shad0w,2020,Spring,11W - 7L,61.1%,3.6,5.1,318,17.9%,69.8%
Skeanz,2020,Spring,2W - 16L,11.1%,2.7,4.9,286,17.7%,71.7%
Steeelback,2020,Spring,2W - 6L,25%,2.9,0.9,206,12.6%,67.9%
Tore,2020,Spring,7W - 11L,38.9%,2.0,1.4,228,13.4%,62%
Trick,2020,Spring,4W - 14L,22.2%,1.7,4.9,290,17.5%,73.2%
Upset,2020,Spring,13W - 5L,72.2%,7.6,9.5,437,24.7%,73.6%
VandeR,2020,Spring,9W - 9L,50%,3.2,1.2,231,13.4%,70.7%
Ventair,2020,Spring,0W - 2L,0%,2.3,7.8,351,22.5%,87.5%
Wunder,2020,Spring,15W - 3L,83.3%,4.1,7,383,20.4%,59.3%
Xerxe,2020,Spring,13W - 5L,72.2%,5.9,5.2,323,18.2%,67.9%
jactroll,2020,Spring,0W - 10L,0%,1.1,0.9,199,12.5%,51.8%
