Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Irrelevant,2023,Spring,4W - 5L,44.4%,2.5,8,374,21.3%,55.6%
Jackspektra,2023,Spring,3W - 7L,30%,4.4,9.9,453,25.5%,67.1%
Jankos,2023,Spring,3W - 7L,30%,3.7,5.3,353,19.8%,76.8%
Kaiser,2023,Spring,6W - 3L,66.7%,7.6,0.9,261,13.5%,74.4%
Kobbe,2023,Spring,6W - 3L,66.7%,5.5,8.8,440,24%,71%
Labrov,2023,Spring,7W - 2L,77.8%,4.2,0.9,240,13.2%,80.1%
Larssen,2023,Spring,4W - 5L,44.4%,3.0,8.5,397,22.9%,58.1%
Lider,2023,Spring,6W - 3L,66.7%,2.5,9.1,433,23.5%,58.3%
Limit,2023,Spring,2W - 7L,22.2%,2.1,0.7,226,13.7%,70%
Malrang,2023,Spring,4W - 5L,44.4%,2.1,4.4,283,16.4%,58.6%
Markoon,2023,Spring,4W - 5L,44.4%,3.4,4.8,319,18.1%,75.1%
Mersa,2023,Spring,3W - 7L,30%,3.0,1,222,12.5%,68.8%
Mikyx,2023,Spring,6W - 3L,66.7%,3.5,1,273,13.8%,68.4%
Nisqy,2023,Spring,4W - 6L,40%,2.3,8.6,384,21.7%,61.5%
Odoamne,2023,Spring,2W - 7L,22.2%,1.8,7.6,354,21.4%,48.3%
Oscarinin,2023,Spring,4W - 5L,44.4%,1.8,7.9,403,22.4%,50.2%
Patrik,2023,Spring,2W - 7L,22.2%,2.5,9,412,24.9%,70.7%
Perkz,2023,Spring,6W - 3L,66.7%,4.8,8.6,401,20.9%,55.2%
Photon,2023,Spring,6W - 3L,66.7%,3.9,8.5,439,22.8%,59.6%
Razork,2023,Spring,4W - 5L,44.4%,2.6,5.2,333,18.6%,71.4%
Rekkles,2023,Spring,4W - 5L,44.4%,4.3,9.7,434,24.1%,59.8%
Ruby,2023,Spring,3W - 7L,30%,3.4,7.9,381,21.4%,64.1%
Sertuss,2023,Spring,4W - 5L,44.4%,2.9,8.3,390,22.2%,62.1%
Sheo,2023,Spring,7W - 2L,77.8%,9.4,5,329,18%,77.6%
Szygenda,2023,Spring,4W - 5L,44.4%,2.4,8.4,395,22.9%,63.9%
Trymbi,2023,Spring,4W - 5L,44.4%,1.7,0.8,225,13%,76.1%
Upset,2023,Spring,6W - 3L,66.7%,12.5,9.8,481,24.9%,63.2%
Vetheo,2023,Spring,2W - 4L,33.3%,2.5,9.2,396,23.6%,60.8%
Xerxe,2023,Spring,2W - 7L,22.2%,2.2,4.5,283,17%,66.6%
Yike,2023,Spring,6W - 3L,66.7%,6.1,5.7,369,18.6%,65.4%
nuc,2023,Spring,7W - 2L,77.8%,4.4,8,389,21.4%,65%
113,2023,Winter,3W - 6L,33.3%,2.5,4.8,309,18.3%,73.5%
Adam,2023,Winter,5W - 4L,55.6%,3.2,8,404,22.3%,54.3%
Bo,2023,Winter,7W - 2L,77.8%,2.7,5.6,367,19.3%,69%
Brokenblade,2023,Winter,6W - 3L,66.7%,4.3,7.5,404,20.6%,58.2%
Caps,2023,Winter,6W - 3L,66.7%,3.7,7.7,407,20.9%,58.7%
Carzzy,2023,Winter,7W - 2L,77.8%,5.4,9.1,429,22.9%,58.6%
Chasy,2023,Winter,7W - 2L,77.8%,4.7,8,396,21.2%,51.9%
Comp,2023,Winter,4W - 5L,44.4%,3.5,10.1,427,24.6%,51.2%
Crownie,2023,Winter,5W - 4L,55.6%,7.8,9.4,446,24.7%,72.9%
