Team,Year,Split,Role,Player
DWG KIA,2022,Summer,BOT,deokdam
DWG KIA,2022,Summer,SUPPORT,Kellin
DWG KIA,2022,Summer,BOT,Kellin
DWG KIA,2022,Summer,SUPPORT,deokdam
DWG KIA,2022,Summer,SUPPORT,Bible
Fredit BRION,2022,Summer,TOP,Morgan
Fredit BRION,2022,Summer,JUNGLE,UmTi
Fredit BRION,2022,Summer,MID,Lava
Fredit BRION,2022,Summer,BOT,Hena
Fredit BRION,2022,Summer,SUPPORT,Delight
Fredit BRION,2022,Summer,TOP,Sw0rd
Fredit BRION,2022,Summer,JUNGLE,Raptor
Fredit BRION,2022,Summer,BOT,Gamin
Gen.G eSports,2022,Summer,TOP,Doran
Gen.G eSports,2022,Summer,JUNGLE,Peanut
Gen.G eSports,2022,Summer,MID,Chovy
Gen.G eSports,2022,Summer,BOT,Ruler
Gen.G eSports,2022,Summer,SUPPORT,Lehends
Gen.G eSports,2022,Summer,BOT,Lehends
Gen.G eSports,2022,Summer,SUPPORT,Ruler
Hanwha Life eSports,2022,Summer,TOP,DuDu
Hanwha Life eSports,2022,Summer,JUNGLE,OnFleek
Hanwha Life eSports,2022,Summer,MID,Karis
Hanwha Life eSports,2022,Summer,BOT,Hans SamD
Hanwha Life eSports,2022,Summer,SUPPORT,Vsta
Hanwha Life eSports,2022,Summer,JUNGLE,Willer
Hanwha Life eSports,2022,Summer,BOT,Vsta
Hanwha Life eSports,2022,Summer,BOT,Cheoni
Hanwha Life eSports,2022,Summer,SUPPORT,Hans SamD
KT Rolster,2022,Summer,TOP,Rascal
KT Rolster,2022,Summer,JUNGLE,Cuzz
KT Rolster,2022,Summer,MID,Vicla
KT Rolster,2022,Summer,BOT,Aiming
KT Rolster,2022,Summer,SUPPORT,Life
KT Rolster,2022,Summer,MID,Aria
KT Rolster,2022,Summer,BOT,Life
KT Rolster,2022,Summer,SUPPORT,Aiming
Kwangdong Freecs,2022,Summer,TOP,Kiin
Kwangdong Freecs,2022,Summer,JUNGLE,Ellim
Kwangdong Freecs,2022,Summer,MID,FATE
Kwangdong Freecs,2022,Summer,BOT,Teddy
Kwangdong Freecs,2022,Summer,SUPPORT,Hoit
Kwangdong Freecs,2022,Summer,BOT,Hoit
Kwangdong Freecs,2022,Summer,BOT,Moham
Kwangdong Freecs,2022,Summer,SUPPORT,Moham
Kwangdong Freecs,2022,Summer,SUPPORT,Teddy
Liiv SANDBOX,2022,Summer,TOP,Dove
Liiv SANDBOX,2022,Summer,JUNGLE,Croco
Liiv SANDBOX,2022,Summer,MID,Clozer
Liiv SANDBOX,2022,Summer,BOT,Prince
Liiv SANDBOX,2022,Summer,SUPPORT,Kael
Nongshim RedForce,2022,Summer,TOP,Canna
Nongshim RedForce,2022,Summer,JUNGLE,Dread
Nongshim RedForce,2022,Summer,MID,Bdd
Nongshim RedForce,2022,Summer,BOT,Ghost
Nongshim RedForce,2022,Summer,SUPPORT,Effort
Nongshim RedForce,2022,Summer,JUNGLE,Sylvie
Nongshim RedForce,2022,Summer,BOT,Effort
Nongshim RedForce,2022,Summer,SUPPORT,Ghost
Nongshim RedForce,2022,Summer,SUPPORT,Peter
Nongshim RedForce,2022,Summer,SUPPORT,SnowFlower
T1,2022,Summer,TOP,Zeus
T1,2022,Summer,JUNGLE,Oner
T1,2022,Summer,MID,Faker
T1,2022,Summer,BOT,Gumayusi
T1,2022,Summer,SUPPORT,Keria
T1,2022,Summer,BOT,Keria
T1,2022,Summer,SUPPORT,Gumayusi
DRX,2022,Spring,TOP,kingen
DRX,2022,Spring,JUNGLE,Pyosik
DRX,2022,Spring,MID,Zeka
DRX,2022,Spring,BOT,Deft
DRX,2022,Spring,SUPPORT,BeryL
DRX,2022,Spring,TOP,Clear
DRX,2022,Spring,JUNGLE,Peach
DRX,2022,Spring,MID,SeTab
DRX,2022,Spring,BOT,Taeyoon
DRX,2022,Spring,SUPPORT,Jun
DWG KIA,2022,Spring,TOP,Burdol
DWG KIA,2022,Spring,JUNGLE,Canyon
DWG KIA,2022,Spring,MID,ShowMaker
DWG KIA,2022,Spring,BOT,deokdam
DWG KIA,2022,Spring,SUPPORT,Kellin
DWG KIA,2022,Spring,TOP,Hoya
Fredit BRION,2022,Spring,TOP,Morgan
Fredit BRION,2022,Spring,JUNGLE,UmTi
Fredit BRION,2022,Spring,MID,Lava
Fredit BRION,2022,Spring,BOT,Hena
Fredit BRION,2022,Spring,SUPPORT,Delight
Fredit BRION,2022,Spring,TOP,Sw0rd
Fredit BRION,2022,Spring,TOP,Soboro
Fredit BRION,2022,Spring,JUNGLE,Raptor
Fredit BRION,2022,Spring,JUNGLE,Listo
Fredit BRION,2022,Spring,MID,Feisty
Fredit BRION,2022,Spring,BOT,Gamin
Fredit BRION,2022,Spring,SUPPORT,Loopy
Gen.G eSports,2022,Spring,TOP,Doran
Gen.G eSports,2022,Spring,JUNGLE,Peanut
Gen.G eSports,2022,Spring,MID,Chovy
Gen.G eSports,2022,Spring,BOT,Ruler
Gen.G eSports,2022,Spring,SUPPORT,Lehends
Gen.G eSports,2022,Spring,TOP,Chovy
Gen.G eSports,2022,Spring,TOP,Zest
Gen.G eSports,2022,Spring,JUNGLE,YoungJae
Gen.G eSports,2022,Spring,MID,Quid
Gen.G eSports,2022,Spring,MID,Ophelia
Gen.G eSports,2022,Spring,BOT,Ophelia
Gen.G eSports,2022,Spring,SUPPORT,Lospa
Hanwha Life eSports,2022,Spring,TOP,DuDu
Hanwha Life eSports,2022,Spring,JUNGLE,OnFleek
Hanwha Life eSports,2022,Spring,MID,Karis
Hanwha Life eSports,2022,Spring,BOT,Hans SamD
Hanwha Life eSports,2022,Spring,SUPPORT,Vsta
Hanwha Life eSports,2022,Spring,JUNGLE,Guwon
Hanwha Life eSports,2022,Spring,JUNGLE,Willer
Hanwha Life eSports,2022,Spring,BOT,Cheoni
Hanwha Life eSports,2022,Spring,SUPPORT,Baut
KT Rolster,2022,Spring,TOP,Rascal
KT Rolster,2022,Spring,JUNGLE,Cuzz
KT Rolster,2022,Spring,MID,Vicla
KT Rolster,2022,Spring,BOT,Aiming
KT Rolster,2022,Spring,SUPPORT,Life
KT Rolster,2022,Spring,JUNGLE,GIDEON
KT Rolster,2022,Spring,MID,Aria
KT Rolster,2022,Spring,BOT,Life
KT Rolster,2022,Spring,SUPPORT,Aiming
Kwangdong Freecs,2022,Spring,TOP,Kiin
Kwangdong Freecs,2022,Spring,JUNGLE,Ellim
Kwangdong Freecs,2022,Spring,MID,FATE
Kwangdong Freecs,2022,Spring,BOT,Teddy
Kwangdong Freecs,2022,Spring,SUPPORT,Hoit
Liiv SANDBOX,2022,Spring,TOP,Dove
Liiv SANDBOX,2022,Spring,JUNGLE,Croco
Liiv SANDBOX,2022,Spring,MID,Clozer
Liiv SANDBOX,2022,Spring,BOT,Ice
Liiv SANDBOX,2022,Spring,SUPPORT,Kael
Liiv SANDBOX,2022,Spring,TOP,Clozer
Liiv SANDBOX,2022,Spring,TOP,Howling
Liiv SANDBOX,2022,Spring,JUNGLE,HamBak
Liiv SANDBOX,2022,Spring,MID,Dove
Liiv SANDBOX,2022,Spring,MID,Ten10
Liiv SANDBOX,2022,Spring,BOT,Envyy
Liiv SANDBOX,2022,Spring,BOT,Kael
Liiv SANDBOX,2022,Spring,SUPPORT,Ice
Liiv SANDBOX,2022,Spring,SUPPORT,Prove
Nongshim RedForce,2022,Spring,TOP,Canna
Nongshim RedForce,2022,Spring,JUNGLE,Dread
Nongshim RedForce,2022,Spring,MID,Bdd
Nongshim RedForce,2022,Spring,BOT,Ghost
Nongshim RedForce,2022,Spring,SUPPORT,Effort
Nongshim RedForce,2022,Spring,TOP,DnDn
Nongshim RedForce,2022,Spring,TOP,Dread
Nongshim RedForce,2022,Spring,JUNGLE,Sylvie
Nongshim RedForce,2022,Spring,MID,FIESTA
Nongshim RedForce,2022,Spring,BOT,Vital
Nongshim RedForce,2022,Spring,SUPPORT,Peter
Nongshim RedForce,2022,Spring,SUPPORT,Blessing
Nongshim RedForce,2022,Spring,SUPPORT,Ghost
T1,2022,Spring,TOP,Zeus
T1,2022,Spring,JUNGLE,Oner
T1,2022,Spring,MID,Faker
T1,2022,Spring,BOT,Gumayusi
T1,2022,Spring,SUPPORT,Keria
Afreeca Freecs,2021,Summer,TOP,Kiin
Afreeca Freecs,2021,Summer,JUNGLE,Dread
Afreeca Freecs,2021,Summer,MID,Fly
Afreeca Freecs,2021,Summer,BOT,Leo
Afreeca Freecs,2021,Summer,SUPPORT,Lehends
Afreeca Freecs,2021,Summer,BOT,Lehends
Afreeca Freecs,2021,Summer,SUPPORT,Leo
DRX,2021,Summer,TOP,kingen
DRX,2021,Summer,JUNGLE,Pyosik
