,Side,Region,Year,Game ID,Team,Victory,Game Duration,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
2,Blue Side,LCS,2024,56828,FlyQuest,True,41.483,Jensen,MID,17.0,4.0,5.0,13.0,3.4,266.0,0.0,,6.4,15202.0,366.0,0.19,33.0,5.0,10.0,2.0,2.0,0.8,0.12,0.05,0.24,0.094,23165.0,901.0,22070.0,194.0,558.0,0.205,0.41,0.63,0.0,0.0,0.0,0.0,0.0,435.0,1.0,-513.0,-1.0,0.0,5358.0,5358.0,1979.0,1354.0,11592.0,3621.0,41.0,582.0,16994.0,214.0,4.0,22.0,50.0,150.0
3,Blue Side,LCS,2024,56828,FlyQuest,True,41.483,Massu,ADC,18.0,11.0,1.0,12.0,23.0,310.0,8.0,,7.5,18978.0,457.0,0.238,43.0,15.0,14.0,5.0,5.0,1.04,0.36,0.12,0.34,0.122,41444.0,33892.0,7219.0,333.0,999.0,0.367,0.55,0.852,0.0,2.0,1.0,0.0,0.0,-29.0,0.0,864.0,1.0,0.0,11432.0,11432.0,3426.0,0.0,6134.0,0.0,48.0,478.0,13877.0,42.0,8.0,27.0,400.0,500.0
4,Blue Side,LCS,2024,56828,FlyQuest,True,41.483,Busio,SUPPORT,14.0,1.0,5.0,19.0,4.0,30.0,0.0,,0.7,10344.0,249.0,0.13,156.0,88.0,17.0,20.0,20.0,3.76,2.12,0.48,0.41,0.443,6647.0,1318.0,4670.0,659.0,160.0,0.059,0.48,0.741,0.0,0.0,0.0,0.0,0.0,-102.0,0.0,-518.0,0.0,0.0,202.0,202.0,3009.0,1324.0,30303.0,2621.0,63.0,342.0,21097.0,110.0,23.0,39.0,0.0,0.0
5,Red Side,LCS,2024,56828,Team Liquid,False,41.483,Impact,TOP,17.0,3.0,6.0,7.0,1.7,250.0,4.0,,6.0,14839.0,358.0,0.204,41.0,16.0,5.0,10.0,10.0,0.99,0.39,0.24,0.12,0.107,31593.0,1087.0,29410.0,1096.0,762.0,0.298,0.24,0.588,0.0,1.0,0.0,0.0,0.0,205.0,3.0,402.0,0.0,0.0,905.0,905.0,2188.0,0.0,30283.0,0.0,16.0,259.0,26055.0,179.0,12.0,45.0,650.0,150.0
6,Red Side,LCS,2024,56828,Team Liquid,False,41.483,UmTi,JUNGLE,17.0,5.0,5.0,5.0,2.0,226.0,180.0,,5.4,14835.0,358.0,0.204,76.0,34.0,11.0,26.0,21.0,1.83,0.82,0.63,0.27,0.199,11210.0,9160.0,1626.0,424.0,270.0,0.106,0.24,0.588,0.0,1.0,0.0,0.0,0.0,-740.0,-14.0,-487.0,0.0,0.0,1704.0,1704.0,24764.0,0.0,50601.0,500.0,18.0,654.0,50861.0,144.0,29.0,46.0,600.0,300.0
7,Red Side,LCS,2024,56828,Team Liquid,False,41.483,APA,MID,18.0,2.0,4.0,11.0,3.3,337.0,4.0,,8.1,15568.0,375.0,0.214,75.0,31.0,13.0,11.0,11.0,1.81,0.75,0.27,0.31,0.196,24289.0,948.0,16452.0,6889.0,586.0,0.229,0.31,0.765,0.0,0.0,0.0,0.0,0.0,-435.0,-1.0,513.0,1.0,0.0,5736.0,5736.0,4946.0,0.0,20457.0,0.0,18.0,85.0,24090.0,148.0,17.0,37.0,0.0,50.0
8,Red Side,LCS,2024,56828,Team Liquid,False,41.483,Yeon,ADC,16.0,5.0,7.0,7.0,1.7,310.0,30.0,,7.5,16921.0,408.0,0.233,59.0,17.0,11.0,14.0,8.0,1.42,0.41,0.34,0.27,0.154,33087.0,26480.0,5804.0,803.0,798.0,0.312,0.29,0.706,0.0,1.0,0.0,0.0,0.0,29.0,0.0,-864.0,-1.0,0.0,6404.0,6404.0,4962.0,0.0,25855.0,0.0,27.0,492.0,25045.0,186.0,9.0,30.0,0.0,450.0
9,Red Side,LCS,2024,56828,Team Liquid,False,41.483,CoreJJ,SUPPORT,14.0,2.0,5.0,11.0,2.6,25.0,0.0,,0.6,10484.0,253.0,0.144,131.0,70.0,11.0,16.0,14.0,3.16,1.69,0.39,0.27,0.343,5828.0,1275.0,3455.0,1098.0,140.0,0.055,0.31,0.765,0.0,0.0,0.0,0.0,0.0,102.0,0.0,518.0,0.0,0.0,304.0,304.0,17070.0,8758.0,32500.0,5691.0,23.0,73.0,27186.0,171.0,21.0,35.0,0.0,0.0
0,Blue Side,LCS,2024,56819,100 Thieves,False,34.433,Sniper,TOP,16.0,0.0,4.0,1.0,0.3,251.0,5.0,,7.3,10547.0,306.0,0.194,26.0,12.0,4.0,4.0,3.0,0.76,0.35,0.12,0.12,0.104,7405.0,6334.0,1060.0,11.0,215.0,0.096,0.03,0.25,0.0,0.0,0.0,0.0,0.0,-1568.0,-29.0,-269.0,0.0,0.0,0.0,0.0,5158.0,0.0,19406.0,0.0,7.0,225.0,27493.0,155.0,5.0,23.0,0.0,0.0
1,Blue Side,LCS,2024,56819,100 Thieves,False,34.433,River,JUNGLE,15.0,0.0,4.0,4.0,1.0,185.0,159.0,,5.4,9778.0,284.0,0.18,36.0,8.0,9.0,8.0,8.0,1.05,0.23,0.23,0.26,0.144,9632.0,8578.0,744.0,310.0,280.0,0.125,0.12,1.0,0.0,0.0,0.0,0.0,0.0,-603.0,-13.0,-629.0,-1.0,0.0,0.0,0.0,27071.0,0.0,29291.0,0.0,16.0,642.0,46049.0,108.0,9.0,28.0,0.0,0.0
2,Blue Side,LCS,2024,56819,100 Thieves,False,34.433,Quid,MID,17.0,3.0,4.0,1.0,1.0,327.0,0.0,,9.5,13803.0,401.0,0.254,41.0,16.0,8.0,9.0,7.0,1.19,0.46,0.26,0.23,0.164,23748.0,619.0,22399.0,730.0,690.0,0.308,0.12,1.0,0.0,0.0,0.0,0.0,0.0,-56.0,-13.0,-486.0,0.0,0.0,4069.0,4069.0,1820.0,516.0,6788.0,333.0,17.0,927.0,13044.0,62.0,12.0,30.0,200.0,150.0
3,Blue Side,LCS,2024,56819,100 Thieves,False,34.433,Meech,ADC,15.0,1.0,1.0,1.0,2.0,328.0,26.0,,9.5,12728.0,370.0,0.235,33.0,9.0,8.0,1.0,1.0,0.96,0.26,0.03,0.23,0.132,32640.0,17850.0,7500.0,7290.0,948.0,0.423,0.06,0.5,0.0,0.0,0.0,0.0,0.0,81.0,94.0,284.0,0.0,0.0,0.0,0.0,8216.0,0.0,8810.0,0.0,21.0,486.0,17480.0,0.0,2.0,22.0,0.0,0.0
4,Blue Side,LCS,2024,56819,100 Thieves,False,34.433,Eyla,SUPPORT,12.0,0.0,2.0,2.0,1.0,47.0,0.0,,1.4,7398.0,215.0,0.136,114.0,56.0,20.0,16.0,14.0,3.31,1.63,0.46,0.58,0.456,3740.0,896.0,2300.0,544.0,109.0,0.048,0.06,0.5,0.0,0.0,0.0,0.0,0.0,-1627.0,-105.0,-1282.0,-2.0,0.0,0.0,0.0,1484.0,405.0,16703.0,933.0,24.0,85.0,11183.0,59.0,18.0,33.0,0.0,0.0
5,Red Side,LCS,2024,56819,Cloud9,True,34.433,Fudge,TOP,18.0,4.0,0.0,7.0,100.0,316.0,17.0,,9.2,16980.0,493.0,0.242,35.0,14.0,4.0,4.0,3.0,1.02,0.41,0.12,0.12,0.117,20855.0,8858.0,11516.0,481.0,606.0,0.248,0.32,0.733,0.0,0.0,0.0,0.0,0.0,1568.0,29.0,269.0,0.0,0.0,9590.0,9590.0,8007.0,0.0,14705.0,0.0,39.0,243.0,16774.0,0.0,7.0,25.0,150.0,0.0
