,Side,Region,Year,Game ID,Team,Victory,Game Duration,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
0,Blue Side,LEC,2024,57862,G2 Esports,False,28.517,Brokenblade,TOP,13.0,1.0,8.0,8.0,1.1,144.0,0.0,,5.0,7964.0,279.0,0.165,30.0,18.0,6.0,9.0,8.0,1.05,0.63,0.32,0.21,0.133,12703.0,6944.0,4936.0,823.0,445.0,0.169,0.32,0.818,0.0,0.0,0.0,0.0,0.0,-471.0,0.0,435.0,1.0,0.0,293.0,293.0,3226.0,0.0,38747.0,0.0,43.0,445.0,33743.0,145.0,10.0,25.0,150.0,0.0
1,Blue Side,LEC,2024,57862,G2 Esports,False,28.517,Yike,JUNGLE,12.0,1.0,5.0,6.0,1.4,137.0,119.0,,4.8,8751.0,307.0,0.181,41.0,8.0,8.0,7.0,6.0,1.44,0.28,0.25,0.28,0.182,6805.0,4737.0,1532.0,536.0,239.0,0.09,0.25,0.636,0.0,0.0,0.0,0.0,0.0,-387.0,-5.0,-281.0,0.0,0.0,2657.0,2657.0,14693.0,0.0,16661.0,0.0,15.0,137.0,30359.0,126.0,7.0,21.0,150.0,0.0
2,Blue Side,LEC,2024,57862,G2 Esports,False,28.517,Caps,MID,14.0,5.0,5.0,3.0,1.6,239.0,4.0,,8.4,12133.0,425.0,0.252,20.0,11.0,2.0,4.0,4.0,0.7,0.39,0.14,0.07,0.089,30140.0,766.0,28910.0,464.0,1057.0,0.401,0.28,0.727,0.0,0.0,0.0,0.0,0.0,1125.0,-1.0,458.0,0.0,0.0,5220.0,5220.0,3372.0,727.0,12634.0,0.0,18.0,73.0,20231.0,168.0,6.0,22.0,200.0,550.0
3,Blue Side,LEC,2024,57862,G2 Esports,False,28.517,Hans sama,ADC,14.0,3.0,4.0,3.0,1.5,259.0,20.0,,9.1,12282.0,431.0,0.255,25.0,12.0,8.0,4.0,4.0,0.88,0.42,0.14,0.28,0.111,22429.0,19007.0,3113.0,309.0,787.0,0.298,0.21,0.545,10.0,0.0,0.0,0.0,0.0,361.0,-1.0,204.0,0.0,0.0,5856.0,5856.0,2847.0,0.0,7843.0,0.0,3.0,40.0,16606.0,92.0,5.0,22.0,300.0,250.0
4,Blue Side,LEC,2024,57862,G2 Esports,False,28.517,Mikyx,SUPPORT,10.0,1.0,7.0,4.0,0.7,37.0,0.0,,1.3,7106.0,249.0,0.147,109.0,51.0,23.0,16.0,14.0,3.82,1.79,0.56,0.81,0.484,3126.0,410.0,2086.0,630.0,110.0,0.042,0.18,0.455,0.0,0.0,0.0,0.0,0.0,-528.0,4.0,-635.0,-1.0,0.0,2286.0,2286.0,943.0,707.0,7138.0,3470.0,20.0,222.0,16227.0,113.0,18.0,31.0,200.0,0.0
5,Red Side,LEC,2024,57862,Fnatic,True,28.517,Oscarinin,TOP,15.0,3.0,1.0,15.0,18.0,154.0,0.0,,5.4,10125.0,355.0,0.163,25.0,11.0,4.0,5.0,5.0,0.88,0.39,0.18,0.14,0.083,12486.0,991.0,8982.0,2513.0,438.0,0.126,0.63,0.621,0.0,0.0,0.0,0.0,0.0,471.0,0.0,-435.0,-1.0,0.0,5112.0,5112.0,29191.0,0.0,33002.0,0.0,32.0,261.0,34554.0,21.0,6.0,23.0,0.0,0.0
6,Red Side,LEC,2024,57862,Fnatic,True,28.517,Razork,JUNGLE,15.0,7.0,4.0,15.0,5.5,168.0,151.0,,5.9,12292.0,431.0,0.197,41.0,10.0,6.0,7.0,7.0,1.44,0.35,0.25,0.21,0.137,21569.0,18019.0,1351.0,2199.0,756.0,0.217,0.77,0.759,0.0,1.0,0.0,0.0,0.0,387.0,5.0,281.0,0.0,0.0,2056.0,2056.0,27706.0,0.0,31843.0,0.0,24.0,451.0,45195.0,124.0,8.0,26.0,50.0,300.0
7,Red Side,LEC,2024,57862,Fnatic,True,28.517,Humanoid,MID,16.0,5.0,4.0,13.0,4.5,283.0,43.0,,9.9,14179.0,497.0,0.228,32.0,8.0,11.0,0.0,0.0,1.12,0.28,0.0,0.39,0.107,18773.0,426.0,18302.0,45.0,658.0,0.189,0.63,0.621,0.0,1.0,0.0,0.0,0.0,-1125.0,1.0,-458.0,0.0,0.0,8151.0,8151.0,5524.0,1552.0,11536.0,0.0,8.0,166.0,17343.0,116.0,2.0,17.0,200.0,500.0
8,Red Side,LEC,2024,57862,Fnatic,True,28.517,Noah,ADC,15.0,12.0,3.0,12.0,8.0,254.0,10.0,,8.9,15470.0,542.0,0.248,34.0,10.0,7.0,2.0,2.0,1.19,0.35,0.07,0.25,0.113,37837.0,30834.0,5073.0,1930.0,1327.0,0.381,0.84,0.828,0.0,1.0,1.0,0.0,0.0,-361.0,1.0,-204.0,0.0,0.0,7730.0,7730.0,6317.0,980.0,6947.0,0.0,32.0,306.0,15950.0,65.0,4.0,23.0,0.0,200.0
9,Red Side,LEC,2024,57862,Fnatic,True,28.517,Jun,SUPPORT,13.0,2.0,0.0,27.0,100.0,43.0,0.0,,1.5,10233.0,359.0,0.164,168.0,94.0,25.0,16.0,16.0,5.89,3.3,0.56,0.88,0.56,8694.0,2065.0,5189.0,1440.0,305.0,0.088,1.02,1.0,0.0,0.0,0.0,0.0,0.0,528.0,-4.0,635.0,1.0,0.0,3219.0,3219.0,3482.0,308.0,13982.0,6365.0,24.0,246.0,12548.0,0.0,19.0,37.0,550.0,0.0
0,Blue Side,LEC,2024,57863,G2 Esports,True,29.1,Brokenblade,TOP,15.0,0.0,5.0,8.0,1.6,156.0,5.0,,5.4,8944.0,307.0,0.151,22.0,12.0,5.0,4.0,3.0,0.76,0.41,0.14,0.17,0.106,5584.0,3117.0,2379.0,88.0,192.0,0.078,0.27,0.421,0.0,0.0,0.0,0.0,0.0,-550.0,-37.0,-1006.0,-1.0,0.0,4108.0,4108.0,2432.0,0.0,35723.0,0.0,13.0,610.0,26735.0,103.0,5.0,23.0,0.0,0.0
1,Blue Side,LEC,2024,57863,G2 Esports,True,29.1,Yike,JUNGLE,15.0,7.0,2.0,10.0,8.5,162.0,150.0,,5.6,12734.0,438.0,0.215,35.0,11.0,7.0,9.0,9.0,1.2,0.38,0.31,0.24,0.169,11613.0,7113.0,4025.0,475.0,399.0,0.162,0.58,0.895,0.0,0.0,1.0,0.0,0.0,658.0,-14.0,-440.0,-1.0,1.0,2066.0,2066.0,19062.0,0.0,36921.0,0.0,18.0,748.0,32130.0,54.0,10.0,32.0,1050.0,150.0
2,Blue Side,LEC,2024,57863,G2 Esports,True,29.1,Caps,MID,17.0,9.0,3.0,5.0,4.7,291.0,12.0,,10.0,16435.0,565.0,0.277,24.0,7.0,2.0,3.0,3.0,0.82,0.24,0.1,0.07,0.116,32376.0,426.0,31950.0,0.0,1113.0,0.45,0.48,0.737,0.0,0.0,0.0,0.0,1.0,701.0,20.0,620.0,1.0,0.0,9727.0,9727.0,7266.0,1693.0,12680.0,0.0,12.0,192.0,20121.0,118.0,5.0,19.0,50.0,100.0
3,Blue Side,LEC,2024,57863,G2 Esports,True,29.1,Hans sama,ADC,14.0,1.0,4.0,10.0,2.8,266.0,8.0,,9.1,12572.0,432.0,0.212,39.0,7.0,13.0,2.0,1.0,1.34,0.24,0.07,0.45,0.188,18988.0,16863.0,1201.0,924.0,653.0,0.264,0.38,0.579,0.0,0.0,0.0,0.0,0.0,-642.0,-1.0,-299.0,-1.0,0.0,9223.0,9223.0,2901.0,0.0,6967.0,0.0,15.0,97.0,14820.0,122.0,3.0,22.0,0.0,200.0
4,Blue Side,LEC,2024,57863,G2 Esports,True,29.1,Mikyx,SUPPORT,12.0,2.0,4.0,14.0,4.0,18.0,0.0,,0.6,8667.0,298.0,0.146,87.0,46.0,5.0,14.0,14.0,2.99,1.58,0.48,0.17,0.42,3317.0,72.0,2617.0,628.0,114.0,0.046,0.55,0.842,0.0,0.0,0.0,0.0,0.0,270.0,-14.0,-1221.0,-2.0,0.0,2425.0,2425.0,655.0,253.0,11980.0,3901.0,20.0,100.0,13017.0,79.0,19.0,33.0,150.0,0.0
5,Red Side,LEC,2024,57863,Fnatic,False,29.1,Oscarinin,TOP,14.0,1.0,3.0,4.0,1.7,177.0,0.0,,6.1,9089.0,312.0,0.176,31.0,10.0,6.0,5.0,5.0,1.07,0.34,0.17,0.21,0.146,5764.0,3946.0,1259.0,559.0,198.0,0.073,0.17,0.278,0.0,0.0,0.0,0.0,0.0,550.0,37.0,1006.0,1.0,0.0,2176.0,2176.0,2582.0,0.0,32470.0,564.0,14.0,360.0,20137.0,55.0,6.0,26.0,0.0,0.0
6,Red Side,LEC,2024,57863,Fnatic,False,29.1,Razork,JUNGLE,14.0,2.0,5.0,8.0,2.0,177.0,158.0,,6.1,9536.0,328.0,0.185,42.0,11.0,10.0,7.0,6.0,1.44,0.38,0.24,0.34,0.197,11754.0,6267.0,4887.0,600.0,404.0,0.148,0.34,0.556,0.0,0.0,0.0,0.0,0.0,-658.0,14.0,440.0,1.0,0.0,1236.0,1236.0,13526.0,0.0,27112.0,0.0,15.0,219.0,29692.0,119.0,9.0,29.0,0.0,50.0
7,Red Side,LEC,2024,57863,Fnatic,False,29.1,Humanoid,MID,15.0,7.0,4.0,6.0,3.3,250.0,8.0,,8.6,12737.0,438.0,0.247,19.0,9.0,4.0,0.0,0.0,0.65,0.31,0.0,0.14,0.089,25990.0,47.0,25745.0,198.0,893.0,0.328,0.45,0.722,0.0,1.0,0.0,0.0,0.0,-701.0,-20.0,-620.0,-1.0,0.0,3208.0,3208.0,1810.0,0.0,8796.0,0.0,34.0,762.0,21472.0,104.0,2.0,20.0,300.0,400.0
8,Red Side,LEC,2024,57863,Fnatic,False,29.1,Noah,ADC,14.0,8.0,4.0,6.0,3.5,250.0,15.0,,8.6,12621.0,434.0,0.245,35.0,12.0,6.0,4.0,4.0,1.2,0.41,0.14,0.21,0.164,23084.0,19979.0,2631.0,474.0,793.0,0.291,0.48,0.778,0.0,0.0,0.0,0.0,0.0,642.0,1.0,299.0,1.0,0.0,5125.0,5125.0,3643.0,0.0,13168.0,0.0,12.0,332.0,17003.0,126.0,5.0,22.0,150.0,800.0
9,Red Side,LEC,2024,57863,Fnatic,False,29.1,Jun,SUPPORT,12.0,0.0,3.0,14.0,4.7,37.0,3.0,,1.3,7543.0,259.0,0.146,86.0,47.0,5.0,12.0,9.0,2.96,1.62,0.41,0.17,0.404,12615.0,807.0,10996.0,812.0,434.0,0.159,0.48,0.778,0.0,0.0,0.0,0.0,0.0,-270.0,14.0,1221.0,2.0,0.0,1740.0,1740.0,1788.0,0.0,5950.0,0.0,85.0,119.0,13111.0,72.0,14.0,28.0,0.0,0.0
0,Blue Side,LEC,2024,57864,Fnatic,False,27.733,Oscarinin,TOP,12.0,2.0,5.0,5.0,1.4,96.0,0.0,,3.5,6790.0,245.0,0.147,13.0,8.0,1.0,2.0,2.0,0.47,0.29,0.07,0.04,0.071,5369.0,817.0,4281.0,271.0,194.0,0.078,0.25,0.5,0.0,0.0,0.0,0.0,0.0,-1830.0,-25.0,-419.0,-1.0,0.0,1467.0,1467.0,12588.0,0.0,19134.0,0.0,14.0,185.0,25916.0,158.0,4.0,18.0,100.0,150.0
1,Blue Side,LEC,2024,57864,Fnatic,False,27.733,Razork,JUNGLE,12.0,3.0,3.0,5.0,2.7,159.0,138.0,,5.7,8801.0,317.0,0.19,30.0,5.0,11.0,5.0,3.0,1.08,0.18,0.18,0.4,0.165,9572.0,6292.0,1167.0,2113.0,345.0,0.139,0.29,0.571,0.0,1.0,0.0,0.0,0.0,450.0,0.0,-224.0,0.0,0.0,0.0,0.0,9545.0,0.0,24029.0,0.0,18.0,655.0,24227.0,117.0,8.0,32.0,0.0,300.0
2,Blue Side,LEC,2024,57864,Fnatic,False,27.733,Humanoid,MID,15.0,5.0,5.0,5.0,2.0,224.0,4.0,,8.1,10756.0,388.0,0.232,17.0,8.0,3.0,1.0,0.0,0.61,0.29,0.04,0.11,0.093,21003.0,266.0,19338.0,1399.0,757.0,0.305,0.36,0.714,0.0,1.0,0.0,0.0,0.0,-625.0,-30.0,-1266.0,-1.0,0.0,0.0,0.0,849.0,0.0,9521.0,0.0,21.0,607.0,21428.0,161.0,3.0,18.0,0.0,50.0
3,Blue Side,LEC,2024,57864,Fnatic,False,27.733,Noah,ADC,14.0,4.0,3.0,5.0,3.0,266.0,4.0,,9.6,13204.0,476.0,0.285,21.0,9.0,4.0,1.0,1.0,0.76,0.32,0.04,0.14,0.115,24520.0,21717.0,2751.0,52.0,884.0,0.356,0.32,0.643,0.0,0.0,0.0,0.0,0.0,418.0,5.0,12.0,0.0,0.0,3862.0,3862.0,1999.0,0.0,6457.0,0.0,14.0,305.0,14229.0,79.0,5.0,21.0,600.0,550.0
4,Blue Side,LEC,2024,57864,Fnatic,False,27.733,Jun,SUPPORT,11.0,0.0,4.0,10.0,2.5,37.0,0.0,,1.3,6721.0,242.0,0.145,101.0,64.0,11.0,13.0,12.0,3.64,2.31,0.47,0.4,0.555,8482.0,1262.0,4165.0,3055.0,306.0,0.123,0.36,0.714,0.0,0.0,0.0,0.0,0.0,486.0,15.0,1463.0,1.0,0.0,1722.0,1722.0,1819.0,544.0,11135.0,3651.0,18.0,270.0,15562.0,102.0,15.0,29.0,0.0,0.0
5,Red Side,LEC,2024,57864,G2 Esports,True,27.733,Brokenblade,TOP,15.0,4.0,2.0,8.0,6.0,188.0,17.0,,6.8,13838.0,499.0,0.242,29.0,11.0,5.0,2.0,2.0,1.05,0.4,0.07,0.18,0.12,16012.0,8733.0,6325.0,954.0,577.0,0.202,0.43,0.6,0.0,1.0,0.0,0.0,0.0,1830.0,25.0,419.0,1.0,0.0,11906.0,11906.0,4057.0,0.0,6256.0,0.0,35.0,262.0,9784.0,6.0,3.0,20.0,150.0,400.0
6,Red Side,LEC,2024,57864,G2 Esports,True,27.733,Yike,JUNGLE,13.0,1.0,5.0,14.0,3.0,138.0,131.0,,5.0,9173.0,331.0,0.16,32.0,7.0,4.0,6.0,5.0,1.15,0.25,0.22,0.14,0.132,10156.0,5493.0,3783.0,880.0,366.0,0.128,0.54,0.75,0.0,0.0,0.0,0.0,0.0,-450.0,0.0,224.0,0.0,0.0,118.0,118.0,22625.0,0.0,31063.0,0.0,29.0,224.0,35595.0,144.0,6.0,21.0,0.0,0.0
7,Red Side,LEC,2024,57864,G2 Esports,True,27.733,Caps,MID,16.0,7.0,3.0,7.0,4.7,258.0,12.0,,9.3,13170.0,475.0,0.23,24.0,4.0,10.0,4.0,3.0,0.87,0.14,0.14,0.36,0.099,31008.0,777.0,29308.0,923.0,1118.0,0.392,0.5,0.7,20.0,2.0,0.0,0.0,0.0,625.0,30.0,1266.0,1.0,0.0,8622.0,8622.0,8124.0,0.0,14520.0,0.0,21.0,203.0,22179.0,73.0,6.0,21.0,600.0,200.0
8,Red Side,LEC,2024,57864,G2 Esports,True,27.733,Hans sama,ADC,14.0,7.0,1.0,5.0,12.0,243.0,2.0,,8.8,13654.0,492.0,0.239,32.0,14.0,8.0,4.0,4.0,1.15,0.5,0.14,0.29,0.132,15991.0,11985.0,2834.0,1172.0,577.0,0.202,0.43,0.6,0.0,1.0,0.0,0.0,0.0,-418.0,-5.0,-12.0,0.0,0.0,8653.0,8653.0,7232.0,0.0,6775.0,0.0,12.0,296.0,15569.0,16.0,7.0,23.0,300.0,100.0
9,Red Side,LEC,2024,57864,G2 Esports,True,27.733,Mikyx,SUPPORT,10.0,1.0,3.0,10.0,3.7,26.0,0.0,,0.9,7321.0,264.0,0.128,125.0,62.0,15.0,10.0,10.0,4.51,2.24,0.36,0.54,0.517,5917.0,2208.0,2630.0,1079.0,213.0,0.075,0.4,0.55,0.0,0.0,0.0,0.0,0.0,-486.0,-15.0,-1463.0,-1.0,0.0,1210.0,1210.0,2634.0,0.0,12826.0,1004.0,31.0,191.0,16344.0,47.0,12.0,27.0,0.0,0.0
0,Blue Side,LEC,2024,57865,Fnatic,False,34.95,Oscarinin,TOP,15.0,7.0,3.0,8.0,5.0,185.0,0.0,,5.3,12694.0,363.0,0.207,34.0,12.0,9.0,4.0,4.0,0.97,0.34,0.11,0.26,0.129,17483.0,12033.0,3647.0,1803.0,500.0,0.169,0.43,0.682,10.0,0.0,0.0,0.0,0.0,1185.0,23.0,802.0,1.0,0.0,3464.0,3464.0,4983.0,0.0,57492.0,935.0,29.0,396.0,30717.0,88.0,5.0,26.0,150.0,400.0
1,Blue Side,LEC,2024,57865,Fnatic,False,34.95,Razork,JUNGLE,14.0,2.0,7.0,11.0,1.9,161.0,139.0,,4.6,11562.0,331.0,0.188,38.0,6.0,9.0,6.0,5.0,1.09,0.17,0.17,0.26,0.144,15893.0,10592.0,4344.0,957.0,455.0,0.153,0.37,0.591,10.0,0.0,0.0,0.0,0.0,-38.0,-4.0,107.0,0.0,0.0,3443.0,3443.0,16400.0,0.0,50681.0,0.0,28.0,391.0,39934.0,182.0,8.0,31.0,550.0,0.0
2,Blue Side,LEC,2024,57865,Fnatic,False,34.95,Humanoid,MID,16.0,7.0,8.0,8.0,1.9,292.0,44.0,,8.4,15031.0,430.0,0.245,27.0,13.0,3.0,3.0,3.0,0.77,0.37,0.09,0.09,0.102,35262.0,583.0,32196.0,2483.0,1009.0,0.34,0.43,0.682,0.0,0.0,0.0,0.0,0.0,1262.0,7.0,539.0,1.0,0.0,7611.0,7611.0,3301.0,0.0,17587.0,0.0,16.0,247.0,24418.0,237.0,5.0,27.0,150.0,650.0
3,Blue Side,LEC,2024,57865,Fnatic,False,34.95,Noah,ADC,14.0,4.0,11.0,5.0,0.8,237.0,2.0,,6.8,12969.0,371.0,0.211,30.0,13.0,7.0,5.0,4.0,0.86,0.37,0.14,0.2,0.114,28089.0,22548.0,4277.0,1264.0,804.0,0.271,0.26,0.409,0.0,0.0,0.0,0.0,0.0,-2981.0,-35.0,-1017.0,-1.0,0.0,550.0,550.0,2458.0,0.0,12236.0,0.0,30.0,404.0,24573.0,253.0,7.0,28.0,900.0,200.0
4,Blue Side,LEC,2024,57865,Fnatic,False,34.95,Jun,SUPPORT,13.0,2.0,4.0,14.0,4.0,39.0,4.0,,1.1,9208.0,263.0,0.15,135.0,84.0,10.0,14.0,14.0,3.86,2.4,0.4,0.29,0.511,6846.0,768.0,4899.0,1179.0,196.0,0.066,0.46,0.727,0.0,0.0,0.0,0.0,0.0,-35.0,10.0,-184.0,-1.0,0.0,172.0,172.0,6322.0,2184.0,31265.0,5689.0,34.0,116.0,19648.0,111.0,16.0,32.0,300.0,0.0
5,Red Side,LEC,2024,57865,G2 Esports,True,34.95,Brokenblade,TOP,16.0,6.0,5.0,15.0,4.2,153.0,4.0,,4.4,11673.0,334.0,0.162,38.0,17.0,9.0,7.0,7.0,1.09,0.49,0.2,0.26,0.134,16854.0,1450.0,15148.0,256.0,482.0,0.153,0.6,0.636,20.0,0.0,0.0,0.0,0.0,-1185.0,-23.0,-802.0,-1.0,0.0,2394.0,2394.0,43300.0,0.0,46637.0,0.0,50.0,323.0,47396.0,73.0,9.0,25.0,50.0,450.0
6,Red Side,LEC,2024,57865,G2 Esports,True,34.95,Yike,JUNGLE,17.0,6.0,5.0,24.0,6.0,202.0,161.0,,5.8,15437.0,442.0,0.214,66.0,11.0,18.0,11.0,9.0,1.89,0.31,0.31,0.52,0.232,22799.0,18035.0,3399.0,1365.0,652.0,0.207,0.86,0.909,10.0,0.0,0.0,0.0,0.0,38.0,4.0,-107.0,0.0,0.0,2378.0,2378.0,33415.0,0.0,39574.0,0.0,42.0,281.0,48879.0,135.0,12.0,37.0,500.0,0.0
7,Red Side,LEC,2024,57865,G2 Esports,True,34.95,Caps,MID,18.0,4.0,7.0,18.0,3.1,275.0,20.0,,7.9,14467.0,414.0,0.201,32.0,9.0,3.0,2.0,2.0,0.92,0.26,0.06,0.09,0.113,22842.0,1275.0,21265.0,302.0,654.0,0.208,0.63,0.667,0.0,0.0,0.0,0.0,0.0,-1262.0,-7.0,-539.0,-1.0,0.0,2726.0,2726.0,2254.0,944.0,12955.0,0.0,42.0,660.0,20321.0,182.0,4.0,21.0,500.0,350.0
8,Red Side,LEC,2024,57865,G2 Esports,True,34.95,Hans sama,ADC,17.0,17.0,2.0,5.0,11.0,351.0,36.0,,10.0,21256.0,608.0,0.295,39.0,13.0,17.0,4.0,4.0,1.12,0.37,0.11,0.49,0.137,41527.0,39528.0,248.0,1751.0,1188.0,0.378,0.63,0.667,0.0,4.0,0.0,0.0,1.0,2981.0,35.0,1017.0,1.0,0.0,13101.0,13101.0,5817.0,0.0,10086.0,0.0,19.0,215.0,17591.0,92.0,5.0,26.0,200.0,1250.0
9,Red Side,LEC,2024,57865,G2 Esports,True,34.95,Mikyx,SUPPORT,14.0,0.0,3.0,25.0,8.3,28.0,0.0,,0.8,9185.0,263.0,0.128,109.0,51.0,13.0,14.0,14.0,3.12,1.46,0.4,0.37,0.384,5870.0,730.0,3293.0,1847.0,168.0,0.053,0.72,0.758,0.0,0.0,0.0,0.0,0.0,35.0,-10.0,184.0,1.0,0.0,1382.0,1382.0,3659.0,1958.0,14233.0,4773.0,26.0,83.0,16705.0,90.0,16.0,31.0,0.0,0.0
0,Blue Side,LEC,2024,57814,Team BDS,True,31.817,Adam,TOP,18.0,4.0,1.0,7.0,11.0,290.0,24.0,,9.1,15709.0,494.0,0.234,49.0,20.0,8.0,16.0,14.0,1.54,0.63,0.5,0.25,0.154,15042.0,13638.0,858.0,546.0,473.0,0.207,0.35,0.524,0.0,1.0,0.0,0.0,0.0,1434.0,44.0,982.0,1.0,0.0,7514.0,7514.0,9297.0,0.0,28758.0,0.0,18.0,142.0,20190.0,35.0,18.0,36.0,150.0,50.0
1,Blue Side,LEC,2024,57814,Team BDS,True,31.817,Sheo,JUNGLE,15.0,3.0,3.0,10.0,4.3,158.0,140.0,,5.0,11555.0,363.0,0.172,29.0,4.0,5.0,2.0,2.0,0.91,0.13,0.06,0.16,0.091,8615.0,3696.0,4237.0,682.0,271.0,0.118,0.41,0.619,0.0,0.0,0.0,0.0,0.0,328.0,7.0,442.0,1.0,0.0,5951.0,5951.0,20267.0,923.0,48402.0,0.0,22.0,345.0,38956.0,108.0,3.0,18.0,0.0,150.0
2,Blue Side,LEC,2024,57814,Team BDS,True,31.817,nuc,MID,18.0,8.0,2.0,7.0,7.5,276.0,36.0,,8.7,14488.0,455.0,0.216,38.0,13.0,6.0,11.0,11.0,1.19,0.41,0.35,0.19,0.119,20224.0,1349.0,18045.0,830.0,636.0,0.278,0.47,0.714,20.0,2.0,0.0,0.0,0.0,902.0,6.0,868.0,0.0,0.0,3178.0,3178.0,263.0,0.0,6317.0,0.0,23.0,620.0,10843.0,91.0,13.0,29.0,0.0,450.0
3,Blue Side,LEC,2024,57814,Team BDS,True,31.817,Ice,ADC,17.0,6.0,0.0,7.0,100.0,331.0,32.0,,10.4,16598.0,522.0,0.247,59.0,15.0,18.0,4.0,4.0,1.85,0.47,0.13,0.57,0.185,24457.0,23414.0,29.0,1014.0,769.0,0.336,0.41,0.619,0.0,2.0,0.0,0.0,0.0,-737.0,-14.0,-355.0,0.0,0.0,6600.0,6600.0,5912.0,0.0,6103.0,0.0,8.0,69.0,11111.0,0.0,5.0,25.0,0.0,0.0
4,Blue Side,LEC,2024,57814,Team BDS,True,31.817,Labrov,SUPPORT,13.0,0.0,1.0,11.0,11.0,33.0,0.0,,1.0,8862.0,279.0,0.132,144.0,83.0,14.0,11.0,11.0,4.53,2.61,0.35,0.44,0.451,4478.0,452.0,3440.0,586.0,141.0,0.061,0.35,0.524,0.0,0.0,0.0,0.0,0.0,12.0,-1.0,-311.0,-1.0,0.0,2027.0,2027.0,5903.0,2277.0,14918.0,1685.0,19.0,51.0,10657.0,41.0,13.0,27.0,0.0,0.0
5,Red Side,LEC,2024,57814,Fnatic,False,31.817,Oscarinin,TOP,15.0,3.0,5.0,3.0,1.2,206.0,16.0,,6.5,11098.0,349.0,0.218,26.0,12.0,7.0,3.0,3.0,0.82,0.38,0.09,0.22,0.116,10257.0,3105.0,6829.0,323.0,322.0,0.189,0.19,0.857,10.0,0.0,0.0,0.0,0.0,-1434.0,-44.0,-982.0,-1.0,0.0,662.0,662.0,4475.0,0.0,14298.0,0.0,32.0,167.0,20062.0,183.0,7.0,25.0,300.0,0.0
6,Red Side,LEC,2024,57814,Fnatic,False,31.817,Razork,JUNGLE,13.0,1.0,5.0,3.0,0.8,146.0,120.0,,4.6,8413.0,264.0,0.165,41.0,12.0,13.0,9.0,8.0,1.29,0.38,0.28,0.41,0.182,7710.0,6260.0,876.0,574.0,242.0,0.142,0.13,0.571,0.0,0.0,0.0,0.0,0.0,-328.0,-7.0,-442.0,-1.0,0.0,0.0,0.0,9766.0,0.0,39405.0,0.0,34.0,737.0,27201.0,116.0,10.0,26.0,0.0,0.0
7,Red Side,LEC,2024,57814,Fnatic,False,31.817,Humanoid,MID,15.0,1.0,5.0,3.0,0.8,266.0,20.0,,8.4,10899.0,343.0,0.214,23.0,8.0,9.0,0.0,0.0,0.72,0.25,0.0,0.28,0.102,14635.0,77.0,14247.0,311.0,460.0,0.27,0.13,0.571,0.0,0.0,0.0,0.0,0.0,-902.0,-6.0,-868.0,0.0,0.0,2492.0,2492.0,2133.0,0.0,16527.0,0.0,10.0,145.0,20422.0,161.0,2.0,18.0,0.0,50.0
8,Red Side,LEC,2024,57814,Fnatic,False,31.817,Noah,ADC,15.0,2.0,3.0,2.0,1.3,340.0,16.0,,10.7,13859.0,436.0,0.272,38.0,14.0,21.0,5.0,5.0,1.19,0.44,0.16,0.66,0.169,18155.0,12190.0,5074.0,891.0,571.0,0.335,0.13,0.571,0.0,0.0,0.0,0.0,0.0,737.0,14.0,355.0,0.0,0.0,3078.0,3078.0,2920.0,0.0,12597.0,0.0,6.0,189.0,14185.0,90.0,7.0,24.0,350.0,100.0
9,Red Side,LEC,2024,57814,Fnatic,False,31.817,Jun,SUPPORT,12.0,0.0,3.0,5.0,1.7,32.0,0.0,,1.0,6606.0,208.0,0.13,97.0,57.0,10.0,14.0,12.0,3.05,1.79,0.44,0.31,0.431,3462.0,305.0,2453.0,704.0,109.0,0.064,0.16,0.714,0.0,0.0,0.0,0.0,0.0,-12.0,1.0,311.0,1.0,0.0,95.0,95.0,767.0,0.0,18977.0,1793.0,25.0,59.0,12440.0,112.0,16.0,33.0,0.0,0.0
0,Blue Side,LEC,2024,57815,Team BDS,True,31.317,Adam,TOP,17.0,1.0,4.0,9.0,2.5,207.0,8.0,,6.6,11065.0,353.0,0.173,28.0,9.0,2.0,7.0,5.0,0.89,0.29,0.22,0.06,0.093,13925.0,1038.0,12296.0,591.0,445.0,0.134,0.32,0.476,0.0,0.0,0.0,0.0,0.0,427.0,-24.0,-547.0,0.0,0.0,8469.0,8469.0,12564.0,0.0,28234.0,0.0,33.0,493.0,30755.0,138.0,9.0,26.0,0.0,0.0
