Year,Split,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
2022,Summer,FlyQuest,S12,NA,19,52.6%,0.99,1769,-6,33:23,11.2,11.2,6.1,6.0,57.9,47.4,2.21,46.2,1.16,57.9,0.79,-0.1,-200,3.68,0.58,42.6,32.8,1915,3.0,1.20,1.42
2022,Summer,Golden Guardians,S12,NA,18,27.8%,0.67,1709,-152,32:12,9.6,14.4,4.5,7.7,44.4,44.4,1.83,42.6,1.11,55.6,0.72,-0.2,-1046,3.61,0.50,25.0,31.8,1897,3.1,1.24,1.54
2022,Summer,Immortals,S12,NA,18,22.2%,0.56,1649,-200,33:47,7.1,12.7,3.8,7.7,44.4,55.6,2.22,45.2,1.11,55.6,0.56,0.0,-559,3.33,0.56,34.4,32.1,1787,3.6,1.39,1.50
2022,Summer,Team Liquid,S12,NA,18,66.7%,1.42,1876,191,31:27,13.2,9.3,7.4,3.8,61.1,77.8,1.94,51.6,1.22,61.1,0.72,0.5,1805,4.89,0.72,66.7,33.7,2194,3.4,1.26,1.53
2022,Summer,TSM,S12,NA,18,33.3%,0.76,1727,-146,30:53,9.9,13.1,4.8,7.1,55.6,22.2,2.11,51.9,0.72,36.1,0.67,-0.2,-617,3.61,0.50,38.9,33.1,1929,3.4,1.31,1.38
2022,Spring,100 Thieves,S12,NA,18,66.7%,1.43,1872,135,34:20,15.7,10.9,7.4,4.8,61.1,55.6,3.22,61.6,1.33,66.7,1.00,0.1,686,4.39,0.94,66.7,33.3,2014,3.6,1.33,1.54
2022,Spring,CLG,S12,NA,18,33.3%,0.70,1708,-173,33:48,10.5,15.0,4.4,8.1,50.0,22.2,1.89,36.9,0.44,25.0,0.67,-0.6,-1318,4.00,0.56,33.3,32.4,1882,3.2,1.36,1.50
2022,Spring,Cloud9,S12,NA,18,72.2%,1.23,1909,190,31:49,13.6,10.9,7.4,4.0,44.4,83.3,2.61,59.2,1.17,58.3,1.06,0.2,945,5.06,0.94,79.6,35.6,1934,3.1,1.01,1.55
2022,Spring,Dignitas,S12,NA,18,44.4%,1.02,1768,-33,34:14,10.6,10.4,6.0,6.8,44.4,61.1,2.72,55.0,0.72,36.1,1.06,0.1,-274,4.12,0.61,45.1,33.6,1641,3.3,1.33,1.61
2022,Spring,Evil Geniuses,S12,NA,19,52.6%,1.16,1820,68,33:54,12.7,10.9,6.3,5.8,57.9,52.6,2.42,55.5,1.16,57.9,0.74,0.0,830,6.00,0.63,54.6,34.1,1789,3.2,1.24,1.52
2022,Spring,FlyQuest,S12,NA,20,50.0%,0.92,1736,-87,34:39,11.0,11.9,6.0,7.4,45.0,20.0,2.55,49.6,0.75,37.5,1.00,-0.2,-918,4.20,0.75,37.7,32.4,1600,3.3,1.37,1.54
2022,Spring,Golden Guardians,S12,NA,19,47.4%,0.92,1781,-7,33:03,11.7,12.7,6.3,6.1,21.1,68.4,2.11,40.1,1.37,68.4,0.58,0.5,373,6.00,0.89,62.7,32.8,1914,3.3,1.38,1.46
2022,Spring,Immortals,S12,NA,18,27.8%,0.74,1724,-134,32:17,10.4,14.0,5.2,7.8,55.6,33.3,1.94,39.9,0.89,44.4,0.61,-0.3,-646,4.25,0.50,30.6,32.6,1763,3.3,1.31,1.42
2022,Spring,Team Liquid,S12,NA,18,77.8%,1.56,1905,177,33:09,14.9,9.6,8.0,4.2,77.8,61.1,2.83,62.7,0.94,47.2,1.06,0.1,1151,5.00,0.67,57.8,35.3,1973,3.1,1.28,1.69
2022,Spring,TSM,S12,NA,18,27.8%,0.71,1782,-131,32:49,11.7,16.3,6.1,8.2,44.4,44.4,1.78,39.9,1.11,58.3,0.89,0.1,-795,5.89,0.61,31.5,32.5,1815,3.5,1.37,1.38
2021,Summer,100 Thieves,S11,NA,27,66.7%,1.28,1821,137,31:51,13.1,10.2,7.4,4.3,55.6,70.4,2.48,55.5,1.07,57.4,0.81,0.5,1082,-,0.78,61.5,33.1,1950,3.3,1.33,1.53
2021,Summer,CLG,S11,NA,27,25.9%,0.70,1676,-171,34:01,9.9,14.1,4.4,8.0,37.0,44.4,1.81,35.9,0.67,33.3,0.67,-0.4,-1219,-,0.67,33.3,32.2,1687,3.7,1.44,1.41
2021,Summer,Cloud9,S11,NA,27,55.6%,1.36,1842,143,32:57,14.9,10.9,6.5,5.7,70.4,37.0,2.59,56.5,1.00,50.0,1.04,-0.6,314,-,0.78,59.7,34.0,1978,3.3,1.24,1.49
2021,Summer,Dignitas,S11,NA,27,44.4%,1.03,1746,-57,30:59,13.2,12.8,5.2,6.5,66.7,40.7,2.04,47.7,1.00,51.9,0.78,-0.2,-170,-,0.44,41.7,31.5,1841,3.1,1.37,1.44
2021,Summer,Evil Geniuses,S11,NA,27,66.7%,1.19,1851,150,33:53,14.7,12.3,8.1,4.6,55.6,70.4,2.56,56.5,1.22,61.1,0.78,0.9,1430,-,0.96,67.0,32.7,2030,3.5,1.27,1.54
