Link,Region,Year
https://gol.gg/game/stats/53530/page-game/,WORLDS,2023
https://gol.gg/game/stats/53531/page-game/,WORLDS,2023
https://gol.gg/game/stats/53526/page-game/,WORLDS,2023
https://gol.gg/game/stats/53527/page-game/,WORLDS,2023
https://gol.gg/game/stats/53523/page-game/,WORLDS,2023
https://gol.gg/game/stats/53524/page-game/,WORLDS,2023
https://gol.gg/game/stats/53514/page-game/,WORLDS,2023
https://gol.gg/game/stats/53515/page-game/,WORLDS,2023
https://gol.gg/game/stats/53511/page-game/,WORLDS,2023
https://gol.gg/game/stats/53512/page-game/,WORLDS,2023
https://gol.gg/game/stats/53520/page-game/,WORLDS,2023
https://gol.gg/game/stats/53521/page-game/,WORLDS,2023
https://gol.gg/game/stats/53522/page-game/,WORLDS,2023
https://gol.gg/game/stats/53517/page-game/,WORLDS,2023
https://gol.gg/game/stats/53518/page-game/,WORLDS,2023
https://gol.gg/game/stats/53508/page-game/,WORLDS,2023
https://gol.gg/game/stats/53509/page-game/,WORLDS,2023
https://gol.gg/game/stats/53510/page-game/,WORLDS,2023
https://gol.gg/game/stats/53482/page-game/,WORLDS,2023
https://gol.gg/game/stats/53483/page-game/,WORLDS,2023
https://gol.gg/game/stats/53479/page-game/,WORLDS,2023
https://gol.gg/game/stats/53480/page-game/,WORLDS,2023
https://gol.gg/game/stats/53476/page-game/,WORLDS,2023
https://gol.gg/game/stats/53477/page-game/,WORLDS,2023
https://gol.gg/game/stats/53426/page-game/,WORLDS,2023
https://gol.gg/game/stats/53427/page-game/,WORLDS,2023
https://gol.gg/game/stats/53428/page-game/,WORLDS,2023
https://gol.gg/game/stats/53422/page-game/,LEC,2023
https://gol.gg/game/stats/53423/page-game/,LEC,2023
https://gol.gg/game/stats/53424/page-game/,LEC,2023
https://gol.gg/game/stats/53425/page-game/,LEC,2023
https://gol.gg/game/stats/53417/page-game/,LEC,2023
https://gol.gg/game/stats/53418/page-game/,LEC,2023
https://gol.gg/game/stats/53419/page-game/,LEC,2023
https://gol.gg/game/stats/53420/page-game/,LEC,2023
https://gol.gg/game/stats/53421/page-game/,LEC,2023
https://gol.gg/game/stats/53372/page-game/,LEC,2023
https://gol.gg/game/stats/53373/page-game/,LEC,2023
https://gol.gg/game/stats/53374/page-game/,LEC,2023
https://gol.gg/game/stats/53375/page-game/,LEC,2023
https://gol.gg/game/stats/53367/page-game/,LEC,2023
https://gol.gg/game/stats/53368/page-game/,LEC,2023
https://gol.gg/game/stats/53369/page-game/,LEC,2023
https://gol.gg/game/stats/53370/page-game/,LEC,2023
https://gol.gg/game/stats/53371/page-game/,LEC,2023
https://gol.gg/game/stats/53293/page-game/,LEC,2023
https://gol.gg/game/stats/53294/page-game/,LEC,2023
https://gol.gg/game/stats/53295/page-game/,LEC,2023
https://gol.gg/game/stats/53296/page-game/,LEC,2023
https://gol.gg/game/stats/53297/page-game/,LEC,2023
https://gol.gg/game/stats/53288/page-game/,LEC,2023
https://gol.gg/game/stats/53289/page-game/,LEC,2023
https://gol.gg/game/stats/53290/page-game/,LEC,2023
https://gol.gg/game/stats/52618/page-game/,LEC,2023
https://gol.gg/game/stats/52619/page-game/,LEC,2023
https://gol.gg/game/stats/52620/page-game/,LEC,2023
https://gol.gg/game/stats/52621/page-game/,LEC,2023
https://gol.gg/game/stats/52613/page-game/,LEC,2023
https://gol.gg/game/stats/52614/page-game/,LEC,2023
https://gol.gg/game/stats/52615/page-game/,LEC,2023
https://gol.gg/game/stats/52565/page-game/,LEC,2023
https://gol.gg/game/stats/52566/page-game/,LEC,2023
https://gol.gg/game/stats/52567/page-game/,LEC,2023
https://gol.gg/game/stats/52540/page-game/,LEC,2023
https://gol.gg/game/stats/52541/page-game/,LEC,2023
https://gol.gg/game/stats/52542/page-game/,LEC,2023
https://gol.gg/game/stats/52543/page-game/,LEC,2023
https://gol.gg/game/stats/52342/page-game/,LEC,2023
https://gol.gg/game/stats/52343/page-game/,LEC,2023
https://gol.gg/game/stats/52344/page-game/,LEC,2023
https://gol.gg/game/stats/52345/page-game/,LEC,2023
https://gol.gg/game/stats/52337/page-game/,LEC,2023
https://gol.gg/game/stats/52338/page-game/,LEC,2023
https://gol.gg/game/stats/52339/page-game/,LEC,2023
https://gol.gg/game/stats/52340/page-game/,LEC,2023
https://gol.gg/game/stats/52341/page-game/,LEC,2023
https://gol.gg/game/stats/52269/page-game/,LEC,2023
https://gol.gg/game/stats/52270/page-game/,LEC,2023
https://gol.gg/game/stats/52266/page-game/,LEC,2023
https://gol.gg/game/stats/52267/page-game/,LEC,2023
https://gol.gg/game/stats/51945/page-game/,LEC,2023
https://gol.gg/game/stats/51946/page-game/,LEC,2023
https://gol.gg/game/stats/51942/page-game/,LEC,2023
https://gol.gg/game/stats/51943/page-game/,LEC,2023
https://gol.gg/game/stats/51939/page-game/,LEC,2023
https://gol.gg/game/stats/51940/page-game/,LEC,2023
https://gol.gg/game/stats/51936/page-game/,LEC,2023
https://gol.gg/game/stats/51937/page-game/,LEC,2023
https://gol.gg/game/stats/51938/page-game/,LEC,2023
https://gol.gg/game/stats/51176/page-game/,LEC,2023
https://gol.gg/game/stats/51177/page-game/,LEC,2023
https://gol.gg/game/stats/51173/page-game/,LEC,2023
https://gol.gg/game/stats/51174/page-game/,LEC,2023
https://gol.gg/game/stats/51175/page-game/,LEC,2023
https://gol.gg/game/stats/51170/page-game/,LEC,2023
https://gol.gg/game/stats/51171/page-game/,LEC,2023
https://gol.gg/game/stats/51167/page-game/,LEC,2023
https://gol.gg/game/stats/51168/page-game/,LEC,2023
https://gol.gg/game/stats/50767/page-game/,LEC,2023
