Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Chovy,2023,Spring,30W - 13L,69.8%,6.1,9.2,430,22.6%,64.5%
Clid,2023,Spring,24W - 21L,53.3%,2.5,5.3,324,18%,63.4%
Clozer,2023,Spring,24W - 23L,51.1%,2.5,9.1,394,22.4%,61.4%
Croco,2023,Spring,6W - 23L,20.7%,1.7,4.9,295,18%,67.1%
Cuzz,2023,Spring,28W - 15L,65.1%,4.8,5.7,333,18.1%,70.7%
Deft,2023,Spring,26W - 14L,65%,6.2,10,460,25.2%,71.7%
Delight,2023,Spring,30W - 13L,69.8%,5.8,0.9,257,13.5%,75.1%
DnDn,2023,Spring,9W - 33L,21.4%,1.9,8.1,362,21.7%,54.5%
Doran,2023,Spring,30W - 13L,69.8%,3.5,8.4,410,21.5%,58.6%
DuDu,2023,Spring,17W - 28L,37.8%,2.1,8.8,397,22.6%,54.7%
Effort,2023,Spring,13W - 31L,29.5%,2.4,0.9,226,13.4%,65.1%
Envyy,2023,Spring,24W - 23L,51.1%,3.2,9.4,416,23.6%,66%
FATE,2023,Spring,12W - 32L,27.3%,2.1,8.5,365,21.9%,56.9%
FIESTA,2023,Spring,7W - 31L,18.4%,1.8,8.5,370,22.3%,60.3%
Faker,2023,Spring,35W - 8L,81.4%,4.3,8.3,404,20.9%,60%
Gumayusi,2023,Spring,35W - 8L,81.4%,5.1,9.8,466,24.1%,64.7%
Hena,2023,Spring,13W - 31L,29.5%,2.3,9.2,397,23.5%,59%
Juhan,2023,Spring,6W - 9L,40%,1.9,5.1,310,18%,70.1%
Jun,2023,Spring,8W - 16L,33.3%,2.4,0.9,239,13.6%,66.1%
Kael,2023,Spring,24W - 23L,51.1%,3.8,0.8,241,13.7%,77.2%
Karis,2023,Spring,13W - 31L,29.5%,2.5,8.6,376,22.3%,63.4%
Kellin,2023,Spring,26W - 14L,65%,6.9,0.6,246,13.4%,79%
Keria,2023,Spring,35W - 8L,81.4%,6.9,0.9,279,14.4%,75.1%
Kiin,2023,Spring,28W - 15L,65.1%,4.1,8.8,405,22.1%,51.3%
Lehends,2023,Spring,28W - 15L,65.1%,4.0,0.8,237,12.9%,70%
Life,2023,Spring,24W - 21L,53.3%,3.2,0.8,240,13.4%,69.1%
Moham,2023,Spring,9W - 12L,42.9%,2.7,0.9,227,12.8%,73.6%
Morgan,2023,Spring,13W - 31L,29.5%,1.8,8.4,370,22%,50.9%
Oner,2023,Spring,35W - 8L,81.4%,4.8,5.4,361,18.6%,70.7%
Peanut,2023,Spring,30W - 13L,69.8%,4.0,5.6,343,18%,66.8%
Peter,2023,Spring,9W - 33L,21.4%,3.3,0.8,221,13.3%,79%
Peyz,2023,Spring,30W - 13L,69.8%,6.0,10,463,24.4%,66.1%
Pleata,2023,Spring,1W - 5L,16.7%,2.1,8.4,385,23.6%,70.2%
Rascal,2023,Spring,12W - 32L,27.3%,1.6,8.4,381,22.8%,60.2%
ShowMaker,2023,Spring,26W - 14L,65%,5.5,8.8,399,21.8%,64.2%
Sylvie,2023,Spring,9W - 33L,21.4%,2.1,5,304,18.3%,72.7%
Taeyoon,2023,Spring,17W - 28L,37.8%,2.6,9.7,419,23.8%,65.4%
UmTi,2023,Spring,13W - 31L,29.5%,2.2,5.5,314,18.7%,78.1%
Viper,2023,Spring,24W - 21L,53.3%,4.4,9.9,440,24.5%,67.5%
Vital,2023,Spring,9W - 33L,21.4%,2.6,9.5,405,24.3%,63.5%
Willer,2023,Spring,24W - 23L,51.1%,3.5,5.7,326,18.5%,68.8%
YoungJae,2023,Spring,17W - 28L,37.8%,2.9,5.6,321,18.3%,71.1%
Zeka,2023,Spring,24W - 21L,53.3%,3.2,9.4,415,23.1%,58.2%
Zeus,2023,Spring,35W - 8L,81.4%,3.8,8.9,429,22.1%,48.9%
deokdam,2023,Spring,11W - 27L,28.9%,2.3,8.9,395,23.5%,60%
kingen,2023,Spring,24W - 21L,53.3%,2.3,8,377,21%,48.4%
Aiming,2022,Summer,25W - 20L,55.6%,6.0,9.8,457,25.1%,71.8%
Aria,2022,Summer,3W - 6L,33.3%,4.1,9,394,22.1%,72.1%
Bdd,2022,Summer,14W - 28L,33.3%,3.3,8.5,386,22.5%,65.9%
BeryL,2022,Summer,22W - 23L,48.9%,2.6,1.9,250,14.1%,72.5%
Bible,2022,Summer,1W - 4L,20%,1.6,0.9,217,12.9%,59.9%
Canna,2022,Summer,14W - 28L,33.3%,2.6,8.2,386,22.4%,61%
Canyon,2022,Summer,24W - 17L,58.5%,3.9,5.6,337,18.6%,69.1%
Cheoni,2022,Summer,2W - 12L,14.3%,2.0,9,388,24.2%,65.6%
Chovy,2022,Summer,35W - 5L,87.5%,7.0,10,458,23.2%,63.6%
Clozer,2022,Summer,27W - 14L,65.9%,4.7,9,411,22.5%,65.8%
Croco,2022,Summer,27W - 14L,65.9%,3.8,5.4,335,18.3%,70.7%
Cuzz,2022,Summer,25W - 20L,55.6%,3.9,5.4,327,18%,69.5%
Deft,2022,Summer,22W - 23L,48.9%,3.7,8.3,410,23.2%,71.6%
Delight,2022,Summer,11W - 31L,26.2%,2.3,1.2,221,12.9%,70%
Doran,2022,Summer,35W - 5L,87.5%,4.2,8.6,425,21.5%,56.5%
Dove,2022,Summer,27W - 14L,65.9%,4.1,7.1,362,19.8%,64.7%
Dread,2022,Summer,14W - 24L,36.8%,3.5,5.2,318,18.3%,70.7%
DuDu,2022,Summer,12W - 34L,26.1%,1.7,8.3,383,22.9%,59%
Effort,2022,Summer,6W - 16L,27.3%,2.3,1.8,236,13.7%,72.1%
Ellim,2022,Summer,13W - 29L,31%,2.3,4.4,286,16.9%,73.1%
FATE,2022,Summer,13W - 29L,31%,4.0,8.7,377,22.4%,69.4%
Faker,2022,Summer,31W - 13L,70.5%,4.2,8.7,408,21.7%,65.4%
Gamin,2022,Summer,0W - 3L,0%,1.2,8.6,370,23.1%,54.3%
Ghost,2022,Summer,14W - 28L,33.3%,3.1,8.5,401,23.3%,67.8%
Gumayusi,2022,Summer,31W - 13L,70.5%,4.5,9,449,23.9%,67.4%
Hans SamD,2022,Summer,10W - 22L,31.3%,1.8,8.9,412,24.2%,57.2%
Hena,2022,Summer,11W - 28L,28.2%,2.9,9.7,419,24.2%,70.7%
Hoit,2022,Summer,8W - 16L,33.3%,3.0,2.2,240,14.3%,74.8%
Juhan,2022,Summer,1W - 2L,33.3%,1.6,4.6,301,17.1%,41.4%
Kael,2022,Summer,27W - 14L,65.9%,4.6,1,241,13.2%,78.3%
Karis,2022,Summer,12W - 34L,26.1%,2.0,8,351,21.1%,64%
Kellin,2022,Summer,23W - 13L,63.9%,5.0,0.9,240,13.1%,78.9%
Keria,2022,Summer,31W - 13L,70.5%,4.5,1.8,257,13.6%,68%
Kiin,2022,Summer,13W - 29L,31%,1.9,8.1,379,22.3%,56.4%
Lava,2022,Summer,11W - 31L,26.2%,2.8,8.9,391,22.7%,70.1%
