Year,Split,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
2023,Spring,LNG Esports,S13,CN,39,71.8%,1.46,1889,186,32:51,16.2,11.1,7.7,4.5,53.8,43.6,2.67,59.9,-,-,-,-,-,-,0.90,66.2,32.7,2439,-,-,-
2023,Spring,Ninjas in Pyjamas,S13,CN,39,35.9%,0.90,1733,-116,31:50,11.8,13.1,5.1,7.1,51.3,30.8,1.95,43.2,-,-,-,-,-,-,0.69,40.6,31.2,2218,-,-,-
2023,Spring,OMG,S13,CN,42,57.1%,1.00,1830,61,31:51,12.2,12.1,6.4,5.3,50.0,45.2,2.33,53.1,-,-,-,-,-,-,0.98,66.2,32.5,2235,-,-,-
2023,Spring,Rare Atom,S13,CN,40,37.5%,0.80,1771,-95,31:30,11.5,14.4,4.6,7.1,52.5,25.0,1.95,43.3,-,-,-,-,-,-,0.70,40.2,32.6,2174,-,-,-
2023,Spring,Royal Never Give Up,S13,CN,37,48.6%,0.96,1786,-11,31:37,12.0,12.4,6.0,6.1,54.1,62.2,2.08,47.8,-,-,-,-,-,-,0.59,43.1,31.9,2229,-,-,-
2023,Spring,Team WE,S13,CN,40,47.5%,1.03,1817,-4,31:58,13.3,12.9,6.2,6.3,45.0,57.5,2.30,53.1,-,-,-,-,-,-,0.83,55.2,31.7,2229,-,-,-
2023,Spring,Top Esports,S13,CN,38,55.3%,1.26,1834,79,31:11,14.4,11.4,6.5,5.4,44.7,50.0,2.53,59.8,-,-,-,-,-,-,0.71,57.2,31.8,2320,-,-,-
2023,Spring,TT,S13,CN,36,50.0%,1.08,1784,-36,33:11,12.9,12.0,6.1,6.1,58.3,27.8,2.56,53.5,-,-,-,-,-,-,0.75,42.6,32.3,2127,-,-,-
2023,Spring,Ultra Prime,S13,CN,37,24.3%,0.53,1674,-261,30:05,8.8,16.4,3.6,8.1,32.4,21.6,1.38,31.9,-,-,-,-,-,-,0.38,27.1,31.4,1970,-,-,-
2023,Spring,Weibo Gaming,S13,CN,39,64.1%,1.19,1860,135,31:33,14.1,11.8,7.0,4.6,41.0,51.3,2.36,53.4,-,-,-,-,-,-,0.85,59.6,32.4,2272,-,-,-
2022,Summer,Anyone s Legend,S12,CN,37,43.2%,0.87,1769,-108,30:49,12.1,13.9,4.6,6.8,48.6,32.4,2.05,46.1,-,-,-,-,0,-,0.65,48.6,32.1,2027,-,-,-
2022,Summer,Bilibili Gaming,S12,CN,42,45.2%,0.93,1816,15,32:09,12.0,12.9,6.0,5.7,50.0,52.4,2.14,49.8,-,-,-,-,0,-,0.52,45.8,32.7,2169,-,-,-
2022,Summer,Edward Gaming,S12,CN,38,65.8%,1.42,1893,152,31:07,14.4,10.1,7.1,4.8,44.7,52.6,2.68,61.3,-,-,-,-,0,-,0.82,60.2,33.2,2309,-,-,-
2022,Summer,Funplus Phoenix,S12,CN,40,47.5%,0.93,1823,-14,30:31,12.2,13.0,6.0,6.0,60.0,57.5,2.08,47.5,-,-,-,-,0,-,0.53,45.9,32.6,2139,-,-,-
2022,Summer,Invictus Gaming,S12,CN,44,40.9%,0.77,1793,-73,29:57,11.6,15.0,5.3,6.7,52.3,43.2,2.16,51.2,-,-,-,-,0,-,0.57,41.3,32.5,1944,-,-,-
2022,Summer,JD Gaming,S12,CN,42,71.4%,1.53,1935,201,30:01,16.9,11.0,7.6,4.0,47.6,57.1,2.71,64.7,-,-,-,-,-,-,0.69,58.3,33.3,2442,-,-,-
2022,Summer,LGD Gaming,S12,CN,42,35.7%,0.77,1729,-145,32:44,11.0,14.3,4.7,7.1,50.0,42.9,1.95,40.8,-,-,-,-,0,-,0.57,31.9,31.8,1936,-,-,-
2022,Summer,LNG Esports,S12,CN,39,51.3%,1.03,1800,-15,32:39,13.0,12.6,6.1,6.2,53.8,41.0,2.31,50.0,-,-,-,-,0,-,0.79,54.6,32.2,2136,-,-,-
2022,Summer,OMG,S12,CN,43,48.8%,0.92,1798,-58,30:16,12.0,13.1,5.2,5.7,48.8,41.9,2.19,48.0,-,-,-,-,0,-,0.56,48.4,32.2,2018,-,-,-
2022,Summer,Rare Atom,S12,CN,42,33.3%,0.69,1772,-96,31:15,10.3,14.8,4.7,6.9,42.9,33.3,2.05,47.2,-,-,-,-,0,-,0.60,38.1,33.3,2015,-,-,-
2022,Summer,Royal Never Give Up,S12,CN,43,67.4%,1.32,1899,146,30:45,15.8,12.0,7.2,4.6,46.5,44.2,2.44,57.9,-,-,-,-,-,-,0.79,70.4,32.6,2284,-,-,-
2022,Summer,Team WE,S12,CN,39,17.9%,0.62,1692,-245,31:00,9.4,15.1,3.7,8.0,48.7,28.2,1.59,34.8,-,-,-,-,0,-,0.46,32.4,31.9,1797,-,-,-
2022,Summer,Top Esports,S12,CN,38,76.3%,1.59,1906,197,31:25,15.3,9.6,7.6,3.9,39.5,52.6,2.66,62.0,-,-,-,-,0,-,0.84,64.5,33.3,2296,-,-,-
2022,Summer,TT,S12,CN,41,43.9%,1.07,1802,-25,32:51,13.0,12.2,6.0,6.5,63.4,43.9,2.54,54.4,-,-,-,-,0,-,0.88,55.1,32.5,1925,-,-,-
2022,Summer,Ultra Prime,S12,CN,38,31.6%,0.67,1708,-189,31:44,10.2,15.3,4.2,7.5,55.3,42.1,1.47,31.3,-,-,-,-,0,-,0.50,32.4,31.7,2047,-,-,-
2022,Summer,Victory Five,S12,CN,37,75.7%,1.46,1902,172,31:08,16.1,11.0,7.5,4.2,45.9,64.9,2.54,61.5,-,-,-,-,0,-,0.81,67.6,32.2,2408,-,-,-
2022,Summer,Weibo Gaming,S12,CN,41,56.1%,1.10,1857,92,31:28,12.9,11.8,6.3,5.0,51.2,43.9,1.88,41.4,-,-,-,-,0,-,0.71,55.7,33.8,2290,-,-,-
2022,Spring,Anyone s Legend,S12,CN,40,35.0%,0.92,1748,-111,32:03,13.2,14.4,4.8,7.0,67.5,30.0,2.13,48.7,-,-,-,-,-,-,0.65,45.7,32.0,1792,-,-,-
2022,Spring,Bilibili Gaming,S12,CN,44,56.8%,1.11,1818,44,33:14,14.4,12.8,6.8,5.9,61.4,50.0,2.32,49.8,-,-,-,-,0,-,0.73,48.4,32.8,1965,-,-,-
2022,Spring,Edward Gaming,S12,CN,37,62.2%,1.27,1861,125,30:25,14.1,11.0,7.0,4.9,51.4,67.6,2.35,56.3,-,-,-,-,-,-,0.70,59.3,32.8,2012,-,-,-
2022,Spring,Funplus Phoenix,S12,CN,42,50.0%,0.94,1838,36,31:07,12.6,13.3,6.4,6.2,42.9,52.4,2.38,54.4,-,-,-,-,-,-,0.69,50.8,33.4,1821,-,-,-
2022,Spring,Invictus Gaming,S12,CN,38,34.2%,0.83,1793,-79,31:00,12.6,15.1,5.5,6.8,52.6,39.5,2.39,53.8,-,-,-,-,0,-,0.61,41.2,32.9,1839,-,-,-
2022,Spring,JD Gaming,S12,CN,38,68.4%,1.24,1868,105,31:30,15.6,12.6,7.3,5.1,57.9,47.4,2.71,58.7,-,-,-,-,-,-,0.79,62.4,32.7,2081,-,-,-
2022,Spring,LGD Gaming,S12,CN,42,31.0%,0.74,1722,-190,30:48,12.0,16.2,4.3,7.3,45.2,40.5,1.79,39.4,-,-,-,-,0,-,0.48,35.9,31.4,1793,-,-,-
2022,Spring,LNG Esports,S12,CN,42,59.5%,1.16,1842,77,31:37,14.0,12.0,6.8,5.5,45.2,54.8,2.14,48.3,-,-,-,-,-,-,0.67,55.4,33.0,1959,-,-,-
2022,Spring,OMG,S12,CN,41,48.8%,0.85,1786,-43,30:26,12.7,14.8,5.5,6.1,48.8,36.6,2.10,49.6,-,-,-,-,0,-,0.73,56.8,31.5,1926,-,-,-
2022,Spring,Rare Atom,S12,CN,38,52.6%,0.88,1825,12,32:05,11.6,13.2,6.5,6.3,47.4,34.2,2.61,54.4,-,-,-,-,-,-,0.66,44.6,34.7,1902,-,-,-
2022,Spring,Royal Never Give Up,S12,CN,39,64.1%,1.32,1881,134,32:05,15.0,11.4,7.3,4.8,53.8,64.1,2.62,59.1,-,-,-,-,-,-,0.82,63.6,33.4,1902,-,-,-
2022,Spring,Team WE,S12,CN,40,35.0%,0.83,1719,-131,30:32,11.3,13.6,4.8,7.3,45.0,27.5,1.85,42.6,-,-,-,-,0,-,0.55,39.0,31.2,1738,-,-,-
2022,Spring,Top Esports,S12,CN,41,58.5%,1.20,1848,86,31:10,13.8,11.5,6.8,5.4,43.9,48.8,2.46,58.0,-,-,-,-,0,-,0.68,55.1,33.5,1973,-,-,-
2022,Spring,TT,S12,CN,40,27.5%,0.75,1698,-158,30:39,10.0,13.4,4.0,7.5,47.5,25.0,1.75,37.9,-,-,-,-,0,-,0.40,36.3,31.9,1754,-,-,-
2022,Spring,Ultra Prime,S12,CN,41,36.6%,0.83,1756,-111,31:46,13.1,15.7,4.9,7.0,58.5,29.3,1.83,41.0,-,-,-,-,-,-,0.51,41.5,31.7,2014,-,-,-
2022,Spring,Victory Five,S12,CN,40,72.5%,1.43,1908,168,31:58,16.7,11.7,8.3,4.7,45.0,60.0,2.60,57.6,-,-,-,-,-,-,0.83,60.8,32.7,2227,-,-,-
2022,Spring,Weibo Gaming,S12,CN,39,59.0%,1.03,1826,54,31:48,12.1,11.7,6.6,5.4,30.8,43.6,1.92,42.3,-,-,-,-,-,-,0.69,55.3,34.1,1986,-,-,-
2021,Summer,Bilibili Gaming,S11,CN,41,58.5%,1.08,1833,71,31:30,14.0,12.9,7.0,4.9,43.9,61.0,2.22,54.4,-,-,-,-,0,-,0.76,64.6,32.8,2017,3.3,1.25,1.52
2021,Summer,Edward Gaming,S11,CN,35,71.4%,1.48,1890,205,30:16,15.6,10.5,7.3,3.9,68.6,54.3,2.63,66.0,-,-,-,-,-,-,0.77,68.8,33.1,2142,3.2,1.22,1.44
2021,Summer,Funplus Phoenix,S11,CN,39,71.8%,1.31,1926,180,29:40,16.1,12.2,7.4,4.1,43.6,66.7,2.82,68.0,-,-,-,-,-,-,0.67,65.2,33.9,2220,3.3,1.42,1.53
2021,Summer,Invictus Gaming,S11,CN,37,40.5%,0.85,1775,-37,30:03,12.8,15.0,5.6,6.2,40.5,59.5,1.97,50.5,0.00,-,0.00,0.0,-,-,0.65,49.1,31.8,2009,3.3,1.43,1.49
2021,Summer,JD Gaming,S11,CN,37,45.9%,0.91,1807,-24,30:44,13.7,15.0,5.1,6.4,51.4,29.7,2.11,47.9,-,-,-,-,-,-,0.57,46.8,33.3,2017,3.3,1.20,1.55
2021,Summer,LGD Gaming,S11,CN,37,45.9%,0.93,1763,-43,31:39,13.7,14.7,5.4,5.9,40.5,37.8,2.05,44.4,-,-,-,-,0,-,0.54,50.0,32.1,2025,3.0,1.25,1.60
2021,Summer,LNG Esports,S11,CN,44,56.8%,1.21,1791,49,32:00,13.4,11.0,5.8,5.5,43.2,34.1,1.91,44.9,-,-,-,-,-,-,0.64,48.8,32.9,1955,3.4,1.20,1.48
2021,Summer,OMG,S11,CN,37,51.4%,0.97,1749,-67,29:59,12.7,13.2,5.1,6.1,59.5,35.1,2.19,51.5,-,-,-,-,0,-,0.59,51.5,32.0,1940,3.0,1.08,1.43
2021,Summer,Rare Atom,S11,CN,41,61.0%,1.12,1810,68,30:54,12.9,11.4,6.0,5.1,51.2,41.5,2.63,60.4,-,-,-,-,0,-,0.61,51.3,33.8,2018,3.2,1.08,1.69
2021,Summer,Rogue Warriors,S11,CN,39,35.9%,0.79,1709,-160,31:27,12.0,15.2,4.3,6.8,38.5,30.8,1.69,37.2,-,-,-,-,0,-,0.51,38.7,31.8,1930,3.1,1.14,1.43
