Team,Year,Split,Role,Player
Cloud9,2022,Summer,SUPPORT,Destiny
Dignitas,2022,Summer,TOP,Hoon
Dignitas,2022,Summer,JUNGLE,eXyu
Dignitas,2022,Summer,MID,Blue
Dignitas,2022,Summer,BOT,Spawn
Dignitas,2022,Summer,SUPPORT,Biofrost
Dignitas,2022,Summer,TOP,Gamsu
Dignitas,2022,Summer,JUNGLE,River
Dignitas,2022,Summer,BOT,Biofrost
Dignitas,2022,Summer,BOT,Neo
Dignitas,2022,Summer,SUPPORT,Neo
Evil Geniuses,2022,Summer,TOP,Impact
Evil Geniuses,2022,Summer,JUNGLE,Inspired
Evil Geniuses,2022,Summer,MID,jojopyun
Evil Geniuses,2022,Summer,BOT,Danny
Evil Geniuses,2022,Summer,SUPPORT,Vulcan
Evil Geniuses,2022,Summer,BOT,Vulcan
Evil Geniuses,2022,Summer,SUPPORT,Danny
FlyQuest,2022,Summer,TOP,Philip
FlyQuest,2022,Summer,JUNGLE,Josedeodo
FlyQuest,2022,Summer,MID,Toucouille
FlyQuest,2022,Summer,BOT,Johnsun
FlyQuest,2022,Summer,SUPPORT,Aphromoo
FlyQuest,2022,Summer,BOT,Aphromoo
FlyQuest,2022,Summer,SUPPORT,Johnsun
Golden Guardians,2022,Summer,TOP,Licorice
Golden Guardians,2022,Summer,JUNGLE,River
Golden Guardians,2022,Summer,MID,Ablazeolive
Golden Guardians,2022,Summer,BOT,Stixxay
Golden Guardians,2022,Summer,SUPPORT,Olleh
Golden Guardians,2022,Summer,JUNGLE,Pridestalkr
Golden Guardians,2022,Summer,MID,Lider
Golden Guardians,2022,Summer,BOT,Olleh
Golden Guardians,2022,Summer,SUPPORT,Stixxay
Golden Guardians,2022,Summer,SUPPORT,Prismal
Immortals,2022,Summer,TOP,Revenge
Immortals,2022,Summer,JUNGLE,Kenvi
Immortals,2022,Summer,MID,PowerOfEvil
Immortals,2022,Summer,BOT,Lost
Immortals,2022,Summer,SUPPORT,IgNar
Immortals,2022,Summer,BOT,IgNar
Immortals,2022,Summer,SUPPORT,Lost
Team Liquid,2022,Summer,TOP,Bwipo
Team Liquid,2022,Summer,JUNGLE,Santorin
Team Liquid,2022,Summer,MID,Bjergsen
Team Liquid,2022,Summer,BOT,Hans sama
Team Liquid,2022,Summer,SUPPORT,CoreJJ
TSM,2022,Summer,TOP,solo
TSM,2022,Summer,JUNGLE,Spica
TSM,2022,Summer,MID,Maple
TSM,2022,Summer,BOT,Instinct
TSM,2022,Summer,SUPPORT,Chime
TSM,2022,Summer,TOP,Huni
TSM,2022,Summer,TOP,S0ul
TSM,2022,Summer,BOT,Tactical
TSM,2022,Summer,SUPPORT,Mia
100 Thieves,2022,Spring,TOP,ssumday
100 Thieves,2022,Spring,JUNGLE,Closer
